	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_016571_NC_016571_1	NC_016571	NC_016571	1	1	903	-1	E															0
NC_016571_NC_016571_2	NC_016571	NC_016571	2	916	3117	-1	E															0
NC_016571_NC_016571_3	NC_016571	NC_016571	3	3224	4099	1	E															0
NC_016571_NC_016571_4	NC_016571	NC_016571	4	4124	6934	1	E															0
NC_016571_NC_016571_5	NC_016571	NC_016571	5	6927	8666	1	E															0
NC_016571_NC_016571_6	NC_016571	NC_016571	6	8723	11065	-1	E															0
NC_016571_NC_016571_7	NC_016571	NC_016571	7	11221	11508	1	E															0
NC_016571_NC_016571_8	NC_016571	NC_016571	8	11601	12215	-1	D										Thymidylate kinase [PF02223.20]					0
NC_016571_NC_016571_9	NC_016571	NC_016571	9	12216	13697	-1	E															0
NC_016571_NC_016571_10	NC_016571	NC_016571	10	13697	14545	-1	E															0
NC_016571_NC_016571_11	NC_016571	NC_016571	11	15585	15995	-1	E															0
NC_016571_NC_016571_12	NC_016571	NC_016571	12	16205	16471	-1	D										Glutaredoxin [PF00462.27]; Glutaredoxin-like domain (DUF836) [PF05768.17]					0
NC_016571_NC_016571_13	NC_016571	NC_016571	13	16468	16701	-1	E															0
NC_016571_NC_016571_14	NC_016571	NC_016571	14	17694	18017	-1	D										Protein of unknown function (DUF2829) [PF11195.11]					0
NC_016571_NC_016571_15	NC_016571	NC_016571	15	19040	19645	1	E															0
NC_016571_NC_016571_16	NC_016571	NC_016571	16	19783	20142	1	E															0
NC_016571_NC_016571_17	NC_016571	NC_016571	17	20207	21073	1	E															0
NC_016571_NC_016571_18	NC_016571	NC_016571	18	21070	21486	1	E															0
NC_016571_NC_016571_19	NC_016571	NC_016571	19	21489	21830	1	E															0
NC_016571_NC_016571_20	NC_016571	NC_016571	20	22039	22407	1	E															0
NC_016571_NC_016571_21	NC_016571	NC_016571	21	22498	23166	1	E															0
NC_016571_NC_016571_22	NC_016571	NC_016571	22	23242	23613	1	E															0
NC_016571_NC_016571_23	NC_016571	NC_016571	23	23665	24069	1	E															0
NC_016571_NC_016571_24	NC_016571	NC_016571	24	24389	25090	1	E															0
NC_016571_NC_016571_25	NC_016571	NC_016571	25	25131	25580	1	E															0
NC_016571_NC_016571_26	NC_016571	NC_016571	26	25564	25977	1	E															0
NC_016571_NC_016571_27	NC_016571	NC_016571	27	25974	26972	1	E															0
NC_016571_NC_016571_28	NC_016571	NC_016571	28	26969	27511	1	E															0
NC_016571_NC_016571_29	NC_016571	NC_016571	29	27566	27889	1	E															0
NC_016571_NC_016571_30	NC_016571	NC_016571	30	27891	28706	1	E															0
NC_016571_NC_016571_31	NC_016571	NC_016571	31	28703	29392	1	E															0
NC_016571_NC_016571_32	NC_016571	NC_016571	32	29385	29855	1	E															0
NC_016571_NC_016571_33	NC_016571	NC_016571	33	29845	30318	1	E															0
NC_016571_NC_016571_34	NC_016571	NC_016571	34	30448	31095	1	E															0
NC_016571_NC_016571_35	NC_016571	NC_016571	35	31058	31378	1	E															0
NC_016571_NC_016571_36	NC_016571	NC_016571	36	31375	32061	1	E															0
NC_016571_NC_016571_37	NC_016571	NC_016571	37	32097	32423	1	E															0
NC_016571_NC_016571_38	NC_016571	NC_016571	38	32517	32762	1	E															0
NC_016571_NC_016571_39	NC_016571	NC_016571	39	32768	33223	1	E															0
NC_016571_NC_016571_40	NC_016571	NC_016571	40	33234	33740	1	E															0
NC_016571_NC_016571_41	NC_016571	NC_016571	41	33740	34126	1	E															0
NC_016571_NC_016571_42	NC_016571	NC_016571	42	34127	36280	1	E															0
NC_016571_NC_016571_43	NC_016571	NC_016571	43	36408	36854	1	E															0
NC_016571_NC_016571_44	NC_016571	NC_016571	44	36829	37215	1	E															0
NC_016571_NC_016571_45	NC_016571	NC_016571	45	37190	37585	1	E															0
NC_016571_NC_016571_46	NC_016571	NC_016571	46	37728	38684	1	E															0
NC_016571_NC_016571_47	NC_016571	NC_016571	47	38728	39015	1	E															0
NC_016571_NC_016571_48	NC_016571	NC_016571	48	39019	39486	1	E															0
NC_016571_NC_016571_49	NC_016571	NC_016571	49	39458	40060	1	E															0
NC_016571_NC_016571_50	NC_016571	NC_016571	50	40069	40392	1	E															0
NC_016571_NC_016571_51	NC_016571	NC_016571	51	40358	40681	1	E															0
NC_016571_NC_016571_52	NC_016571	NC_016571	52	40690	41316	1	E															0
NC_016571_NC_016571_53	NC_016571	NC_016571	53	41326	41748	1	D										SH3 fold domain associated with phage DNA polymerases [PF20287.1]					0
NC_016571_NC_016571_54	NC_016571	NC_016571	54	41842	43920	1	D										Divergent Family B DNA polymerase [PF20286.1]					0
NC_016571_NC_016571_55	NC_016571	NC_016571	55	43988	45004	-1	E															0
NC_016571_NC_016571_56	NC_016571	NC_016571	56	45349	47256	1	E															0
NC_016571_NC_016571_57	NC_016571	NC_016571	57	47348	48940	1	D										RNA polymerase Rpb1, domain 2 [PF00623.23]					0
NC_016571_NC_016571_58	NC_016571	NC_016571	58	48940	49611	1	E															0
NC_016571_NC_016571_59	NC_016571	NC_016571	59	49689	50114	1	E															0
NC_016571_NC_016571_60	NC_016571	NC_016571	60	50124	50585	1	E															0
NC_016571_NC_016571_61	NC_016571	NC_016571	61	50743	50904	1	E															0
NC_016571_NC_016571_62	NC_016571	NC_016571	62	51005	51415	1	E															0
NC_016571_NC_016571_63	NC_016571	NC_016571	63	51415	52215	1	E															0
NC_016571_NC_016571_64	NC_016571	NC_016571	64	52242	53375	1	E															0
NC_016571_NC_016571_65	NC_016571	NC_016571	65	53372	54172	1	E															0
NC_016571_NC_016571_66	NC_016571	NC_016571	66	54185	54973	1	E															0
NC_016571_NC_016571_67	NC_016571	NC_016571	67	55092	56723	1	E															0
NC_016571_NC_016571_68	NC_016571	NC_016571	68	56729	58273	1	E															0
NC_016571_NC_016571_69	NC_016571	NC_016571	69	58290	59801	1	E															0
NC_016571_NC_016571_70	NC_016571	NC_016571	70	59875	60210	-1	E															0
NC_016571_NC_016571_71	NC_016571	NC_016571	71	60288	62408	1	D										RNA polymerase Rpb2, domain 6 [PF00562.31]					0
NC_016571_NC_016571_72	NC_016571	NC_016571	72	62377	64401	1	E															0
NC_016571_NC_016571_73	NC_016571	NC_016571	73	64437	64769	1	E															0
NC_016571_NC_016571_74	NC_016571	NC_016571	74	64770	64973	1	E															0
NC_016571_NC_016571_75	NC_016571	NC_016571	75	64984	65301	1	E															0
NC_016571_NC_016571_76	NC_016571	NC_016571	76	65311	65811	1	E															0
NC_016571_NC_016571_77	NC_016571	NC_016571	77	65890	66120	1	E															0
NC_016571_NC_016571_78	NC_016571	NC_016571	78	66130	66315	1	E															0
NC_016571_NC_016571_79	NC_016571	NC_016571	79	66325	66570	1	E															0
NC_016571_NC_016571_80	NC_016571	NC_016571	80	66618	66899	1	E															0
NC_016571_NC_016571_81	NC_016571	NC_016571	81	66896	67366	1	E															0
NC_016571_NC_016571_82	NC_016571	NC_016571	82	67504	69048	1	E															0
NC_016571_NC_016571_83	NC_016571	NC_016571	83	69476	69880	1	E															0
NC_016571_NC_016571_84	NC_016571	NC_016571	84	69921	70505	1	E															0
NC_016571_NC_016571_85	NC_016571	NC_016571	85	70593	71048	1	E															0
NC_016571_NC_016571_86	NC_016571	NC_016571	86	71122	71838	1	E															0
NC_016571_NC_016571_87	NC_016571	NC_016571	87	71884	73194	-1	E															0
NC_016571_NC_016571_88	NC_016571	NC_016571	88	73187	74074	-1	E															0
NC_016571_NC_016571_89	NC_016571	NC_016571	89	74108	74866	1	E															0
NC_016571_NC_016571_90	NC_016571	NC_016571	90	74908	76527	1	E															0
NC_016571_NC_016571_91	NC_016571	NC_016571	91	76569	76979	1	E															0
NC_016571_NC_016571_92	NC_016571	NC_016571	92	76972	77499	1	E															0
NC_016571_NC_016571_93	NC_016571	NC_016571	93	77622	78089	1	E															0
NC_016571_NC_016571_94	NC_016571	NC_016571	94	78101	78568	1	E															0
NC_016571_NC_016571_95	NC_016571	NC_016571	95	78578	78832	1	E															0
NC_016571_NC_016571_96	NC_016571	NC_016571	96	78880	80628	-1	E															0
NC_016571_NC_016571_97	NC_016571	NC_016571	97	80718	82049	1	E															0
NC_016571_NC_016571_98	NC_016571	NC_016571	98	82059	82490	1	E															0
NC_016571_NC_016571_99	NC_016571	NC_016571	99	82503	84086	1	E															0
NC_016571_NC_016571_100	NC_016571	NC_016571	100	84087	84737	1	E															0
NC_016571_NC_016571_101	NC_016571	NC_016571	101	84795	87761	-1	E															0
NC_016571_NC_016571_102	NC_016571	NC_016571	102	87758	88837	-1	E															0
NC_016571_NC_016571_103	NC_016571	NC_016571	103	88863	89954	1	E															0
NC_016571_NC_016571_104	NC_016571	NC_016571	104	89958	90839	1	E															0
NC_016571_NC_016571_105	NC_016571	NC_016571	105	90823	91353	1	E															0
NC_016571_NC_016571_106	NC_016571	NC_016571	106	91331	92608	1	E															0
NC_016571_NC_016571_107	NC_016571	NC_016571	107	92727	93767	1	E															0
NC_016571_NC_016571_108	NC_016571	NC_016571	108	93856	94932	1	E															0
NC_016571_NC_016571_109	NC_016571	NC_016571	109	95027	96238	1	E															0
NC_016571_NC_016571_110	NC_016571	NC_016571	110	96312	97397	1	E															0
NC_016571_NC_016571_111	NC_016571	NC_016571	111	97354	97902	1	E															0
NC_016571_NC_016571_112	NC_016571	NC_016571	112	97899	98483	1	E															0
NC_016571_NC_016571_113	NC_016571	NC_016571	113	98464	99303	1	E															0
NC_016571_NC_016571_114	NC_016571	NC_016571	114	99306	100226	1	E															0
NC_016571_NC_016571_115	NC_016571	NC_016571	115	100302	101891	1	E															0
NC_016571_NC_016571_116	NC_016571	NC_016571	116	101863	103161	1	E															0
NC_016571_NC_016571_117	NC_016571	NC_016571	117	103170	103808	1	E															0
NC_016571_NC_016571_118	NC_016571	NC_016571	118	103808	105148	1	E															0
NC_016571_NC_016571_119	NC_016571	NC_016571	119	105205	106749	-1	D										Divergent DnaB-like ATPase [PF20307.1]					0
NC_016571_NC_016571_120	NC_016571	NC_016571	120	106788	107339	1	E															0
NC_016571_NC_016571_121	NC_016571	NC_016571	121	107461	109620	1	E															0
NC_016571_NC_016571_122	NC_016571	NC_016571	122	109789	110874	1	E															0
NC_016571_NC_016571_123	NC_016571	NC_016571	123	110890	112581	1	E															0
NC_016571_NC_016571_124	NC_016571	NC_016571	124	112587	115010	1	E															0
NC_016571_NC_016571_125	NC_016571	NC_016571	125	115185	115412	1	E															0
NC_016571_NC_016571_126	NC_016571	NC_016571	126	115363	115617	1	E															0
NC_016571_NC_016571_127	NC_016571	NC_016571	127	115630	115818	1	E															0
NC_016571_NC_016571_128	NC_016571	NC_016571	128	115815	116408	1	E															0
NC_016571_NC_016571_129	NC_016571	NC_016571	129	116531	117166	1	E															0
NC_016571_NC_016571_130	NC_016571	NC_016571	130	117231	120116	-1	E															0
NC_016571_NC_016571_131	NC_016571	NC_016571	131	120145	122271	1	E															0
NC_016571_NC_016571_132	NC_016571	NC_016571	132	122258	122596	1	E															0
NC_016571_NC_016571_133	NC_016571	NC_016571	133	122600	123526	1	E															0
NC_016571_NC_016571_134	NC_016571	NC_016571	134	123545	124165	1	E															0
NC_016571_NC_016571_135	NC_016571	NC_016571	135	124170	124736	1	E															0
NC_016571_NC_016571_136	NC_016571	NC_016571	136	124723	125373	1	E															0
NC_016571_NC_016571_137	NC_016571	NC_016571	137	125429	125782	-1	E															0
NC_016571_NC_016571_138	NC_016571	NC_016571	138	125721	126161	-1	E															0
NC_016571_NC_016571_139	NC_016571	NC_016571	139	126163	127389	-1	E															0
NC_016571_NC_016571_140	NC_016571	NC_016571	140	127421	128185	1	E															0
NC_016571_NC_016571_141	NC_016571	NC_016571	141	128244	131984	1	E															0
