	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000009.1_1	QGNH01000009.1	QGNH01000009.1	1	70	1431	-1	E																		0	False	F
QGNH01000009.1_2	QGNH01000009.1	QGNH01000009.1	2	1481	3007	-1	E																		0	False	F
QGNH01000009.1_3	QGNH01000009.1	QGNH01000009.1	3	3052	4773	-1	E	YP_002122381.1	YP_002122381.1 V20 [Sputnik virophage]	False	0.262	213.0	1.012e-56									VOG05312	sp|B4YNG0|CAPSD_SPTNK Putative capsid protein V20; Xs	Xs	0	False	VF
QGNH01000009.1_4	QGNH01000009.1	QGNH01000009.1	4	4815	6038	-1	E	YP_008859634.1	YP_008859634.1 minor virion protein [Zamilon virus]	False	0.333	186.0	2.285e-49									VOG03088	sp|B4YNF9|V19_SPTNK Structural protein V19; Xs	Xs	0	False	VF
QGNH01000009.1_5	QGNH01000009.1	QGNH01000009.1	5	6054	6605	-1	D	YP_008859641.1	YP_008859641.1 hypothetical protein X812_gp12 [Zamilon virus]	False	0.419	130.0	1.567e-33	MER1239413	C120	MER1239413 - mavirus processing peptidase () [C120.001]#C120#{peptidase unit: 1-189}~source YP_004300294~	False	70.0	1.165e-12	0.303		VOG16709	sp|B4YNE9|V9_SPTNK Uncharacterized protein V9; Xu	Xu	0	False	
QGNH01000009.1_6	QGNH01000009.1	QGNH01000009.1	6	6637	7710	-1	E	YP_008859647.1	YP_008859647.1 DNA packaging protein [Zamilon virus]	False	0.374	136.0	3.397e-33									VOG05703	sp|B4YNE3|V3_SPTNK Uncharacterized protein V3; Xu	Xu	0	False	
QGNH01000009.1_7	QGNH01000009.1	QGNH01000009.1	7	7808	9124	-1	E	YP_002122382.1	YP_002122382.1 V21 [Sputnik virophage]	False	0.288	174.0	4.927e-45									VOG05732	sp|Q5UQA5|YL544_MIMIV Uncharacterized protein L544; Xs	Xs	0	False	V
QGNH01000009.1_8	QGNH01000009.1	QGNH01000009.1	8	9158	10108	-1	E																		0	False	F
QGNH01000009.1_9	QGNH01000009.1	QGNH01000009.1	9	10179	13760	-1	E	NP_943751.1	NP_943751.1 DNA polymerase [Bacillus phage Bam35c]	False	0.166	65.0	3.377e-09												0	False	F
QGNH01000009.1_10	QGNH01000009.1	QGNH01000009.1	10	13838	14032	-1	E																		0	False	F
