	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000985.1_1	QGNH01000985.1	QGNH01000985.1	1	1	267	1	E					0	False	F
QGNH01000985.1_2	QGNH01000985.1	QGNH01000985.1	2	519	875	1	E					0	False	F
QGNH01000985.1_3	QGNH01000985.1	QGNH01000985.1	3	939	1148	1	E					0	False	F
QGNH01000985.1_4	QGNH01000985.1	QGNH01000985.1	4	1298	1822	1	E					0	False	F
QGNH01000985.1_5	QGNH01000985.1	QGNH01000985.1	5	1912	2922	1	E					0	False	F
QGNH01000985.1_6	QGNH01000985.1	QGNH01000985.1	6	2973	3680	1	E					0	False	F
QGNH01000985.1_7	QGNH01000985.1	QGNH01000985.1	7	3680	4213	1	E					0	False	F
QGNH01000985.1_8	QGNH01000985.1	QGNH01000985.1	8	4220	4882	1	E					0	False	F
QGNH01000985.1_9	QGNH01000985.1	QGNH01000985.1	9	4882	6477	1	E					0	False	F
QGNH01000985.1_10	QGNH01000985.1	QGNH01000985.1	10	6474	6824	1	E					0	False	
QGNH01000985.1_11	QGNH01000985.1	QGNH01000985.1	11	6824	7603	1	E					0	False	F
QGNH01000985.1_12	QGNH01000985.1	QGNH01000985.1	12	7603	8946	1	E					0	False	F
QGNH01000985.1_13	QGNH01000985.1	QGNH01000985.1	13	8895	9710	1	E					0	False	F
QGNH01000985.1_14	QGNH01000985.1	QGNH01000985.1	14	9707	11260	1	E					0	False	F
QGNH01000985.1_15	QGNH01000985.1	QGNH01000985.1	15	11235	12560	1	E					0	False	F
