	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001622.1_1	QGNH01001622.1	QGNH01001622.1	1	2	409	-1	E																						0	False	F
QGNH01001622.1_2	QGNH01001622.1	QGNH01001622.1	2	454	963	-1	E																						0	False	F
QGNH01001622.1_3	QGNH01001622.1	QGNH01001622.1	3	960	1319	-1	E																						0	False	F
QGNH01001622.1_4	QGNH01001622.1	QGNH01001622.1	4	1319	3469	-1	E	YP_010665262.1	YP_010665262.1 virion structural protein [Ochrobactrum phage vB_OspP_OH]	False	0.287	121.0	1.239e-26																0	False	F
QGNH01001622.1_5	QGNH01001622.1	QGNH01001622.1	5	3424	4206	-1	E																						0	False	F
QGNH01001622.1_6	QGNH01001622.1	QGNH01001622.1	6	4203	5636	-1	E																						0	False	F
QGNH01001622.1_7	QGNH01001622.1	QGNH01001622.1	7	5633	6700	-1	D														Collagen triple helix repeat (20 copies) [PF01391.21]					VOG20847	REFSEQ collagen-like triple helix repeat-containing protein; Xu	Xu	0	False	
QGNH01001622.1_8	QGNH01001622.1	QGNH01001622.1	8	6780	12116	-1	D	YP_010755127.1	YP_010755127.1 minor tail protein [Microbacterium phage Pumpernickel]	False	0.224	68.0	1.043e-09	MER0286454	U69	MER0286454 - family U69 unassigned peptidases (Shewanella baltica) [U69.UPW]#U69#{peptidase unit: 569-871}~source YP_005271428~	False	141.0	9.375e-32	0.305	Glycosyl hydrolase family 26 [PF02156.18]; Fibronectin type III domain [PF00041.24]	GH26	GH26 beta-mannanase (EC 3.2.1.78); exo-beta-1,4-mannobiohydrolase (EC 3.2.1.100); beta-1,3-xylanase (EC 3.2.1.32); lichenase / endo-beta-1,3-1,4-glucanase (EC 3.2.1.73); mannobiose-producing exo-beta-mannanase (EC 3.2.1.-)	3.2.1.100,3.2.1.32,3.2.1.4,3.2.1.78	GH26.hmm				0	False	MF
QGNH01001622.1_9	QGNH01001622.1	QGNH01001622.1	9	12113	12925	-1	E																						0	False	F
QGNH01001622.1_10	QGNH01001622.1	QGNH01001622.1	10	12925	13635	-1	E																						0	False	F
QGNH01001622.1_11	QGNH01001622.1	QGNH01001622.1	11	13632	14717	-1	D	YP_008433545.1	YP_008433545.1 beta-1,4-glycosyltransferase [Pseudomonas phage PaBG]	False	0.295	153.0	1.376e-38								Anaphase-promoting complex, cyclosome, subunit 3 [PF12895.10]; Tetratricopeptide repeat [PF13429.9]								0	False	F
QGNH01001622.1_12	QGNH01001622.1	QGNH01001622.1	12	14737	15066	-1	E																						0	False	F
