	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001904.1_1	QGNH01001904.1	QGNH01001904.1	1	2	475	1	D							Domain of unknown function DUF123 [PF01986.19]				0	False	F
QGNH01001904.1_2	QGNH01001904.1	QGNH01001904.1	2	667	1581	-1	E											0	False	F
QGNH01001904.1_3	QGNH01001904.1	QGNH01001904.1	3	1664	2467	1	E											0	False	F
QGNH01001904.1_4	QGNH01001904.1	QGNH01001904.1	4	2517	2633	1	E											0	False	F
QGNH01001904.1_5	QGNH01001904.1	QGNH01001904.1	5	2639	2827	1	E											0	False	F
QGNH01001904.1_6	QGNH01001904.1	QGNH01001904.1	6	2820	5642	1	D							Protein of unknown function (DUF3987) [PF13148.9]				0	False	F
QGNH01001904.1_7	QGNH01001904.1	QGNH01001904.1	7	5635	6360	1	E											0	False	F
QGNH01001904.1_8	QGNH01001904.1	QGNH01001904.1	8	6872	7240	1	E											0	False	F
QGNH01001904.1_9	QGNH01001904.1	QGNH01001904.1	9	7462	8016	1	D							Protein of unknown function (DUF1441) [PF07278.14]	VOG00371	sp|P03707|TERS_LAMBD Terminase small subunit; XhXr	Xr;Xh	0	False	VF
QGNH01001904.1_10	QGNH01001904.1	QGNH01001904.1	10	8076	8267	1	E											0	False	F
QGNH01001904.1_11	QGNH01001904.1	QGNH01001904.1	11	8272	8709	1	D	YP_004934601.1	YP_004934601.1 terminase large subunit [Synechococcus phage S-CBS1]	False	121.0	4.708000000000001e-31	0.559	Phage terminase large subunit gpA, ATPase domain [PF05876.15]				0	False	F
QGNH01001904.1_12	QGNH01001904.1	QGNH01001904.1	12	8732	8980	1	D							Terminase large subunit gpA, endonuclease domain [PF20454.1]				0	False	F
QGNH01001904.1_13	QGNH01001904.1	QGNH01001904.1	13	9099	10100	1	D							Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF13589.9]				0	False	F
QGNH01001904.1_14	QGNH01001904.1	QGNH01001904.1	14	10094	10573	1	E											0	False	F
