	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000346.1_1	QGNH01000346.1	QGNH01000346.1	1	3	137	-1	E													0	False	F
QGNH01000346.1_2	QGNH01000346.1	QGNH01000346.1	2	198	1808	-1	E													0	False	F
QGNH01000346.1_3	QGNH01000346.1	QGNH01000346.1	3	1871	2431	-1	E													0	False	F
QGNH01000346.1_4	QGNH01000346.1	QGNH01000346.1	4	2458	3234	-1	E													0	False	F
QGNH01000346.1_5	QGNH01000346.1	QGNH01000346.1	5	3243	4604	-1	C	K06909	phage terminase large subunit	YP_006546303.1	YP_006546303.1 terminase large subunit [Thermoanaerobacterium phage THSA-485A]	False	70.0	2.738e-11	0.183	Terminase RNAseH like domain [PF17288.5]; Phage terminase large subunit [PF04466.16]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01000346.1_6	QGNH01000346.1	QGNH01000346.1	6	4552	5112	-1	E													0	False	F
QGNH01000346.1_7	QGNH01000346.1	QGNH01000346.1	7	5227	5445	-1	E													0	False	
QGNH01000346.1_8	QGNH01000346.1	QGNH01000346.1	8	5793	6281	-1	E													0	False	
QGNH01000346.1_9	QGNH01000346.1	QGNH01000346.1	9	6254	6490	-1	E													0	False	
QGNH01000346.1_10	QGNH01000346.1	QGNH01000346.1	10	6787	7179	-1	E													0	False	F
QGNH01000346.1_11	QGNH01000346.1	QGNH01000346.1	11	7414	8112	-1	E													0	False	F
QGNH01000346.1_12	QGNH01000346.1	QGNH01000346.1	12	8258	8563	-1	E													0	False	F
QGNH01000346.1_13	QGNH01000346.1	QGNH01000346.1	13	8560	8685	-1	E													0	False	F
QGNH01000346.1_14	QGNH01000346.1	QGNH01000346.1	14	8685	8981	-1	E													0	False	F
QGNH01000346.1_15	QGNH01000346.1	QGNH01000346.1	15	8978	9253	-1	E													0	False	F
QGNH01000346.1_16	QGNH01000346.1	QGNH01000346.1	16	9468	9611	-1	E													0	False	F
QGNH01000346.1_17	QGNH01000346.1	QGNH01000346.1	17	9888	10022	-1	E													0	False	F
QGNH01000346.1_18	QGNH01000346.1	QGNH01000346.1	18	10019	10288	-1	E													0	False	F
QGNH01000346.1_19	QGNH01000346.1	QGNH01000346.1	19	10285	10551	-1	E													0	False	F
QGNH01000346.1_20	QGNH01000346.1	QGNH01000346.1	20	10799	11167	1	E													0	False	F
