	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_055555.1_1	NC_055555.1	NC_055555.1	1	127	714	-1	C	K00287	dihydrofolate reductase [EC:1.5.1.3]	YP_010087447.1	YP_010087447.1 dihydrofolate reductase [Phascolarctid gammaherpesvirus 1]	True	0.998	413.0	1.914e-131								Dihydrofolate reductase [PF00186.22]					VOG00346	sp|P04382|DYR_BPT4 Dihydrofolate reductase; Xh	Xh	0	False	F
NC_055555.1_2	NC_055555.1	NC_055555.1	2	1241	1969	-1	E			YP_010087448.1	YP_010087448.1 hypothetical protein KM711_gp02 [Phascolarctid gammaherpesvirus 1]	True	1.0	528.0	2.484e-170																0	False	F
NC_055555.1_3	NC_055555.1	NC_055555.1	3	2056	2292	1	E																								0	False	F
NC_055555.1_4	NC_055555.1	NC_055555.1	4	2316	3596	-1	D			YP_010087449.1	YP_010087449.1 putative beta-galactoside alpha-2,6-sialyltransferase 1 [Phascolarctid gammaherpesvirus 1]	True	1.0	872.0	8.65e-286								Glycosyltransferase family 29 (sialyltransferase) [PF00777.21]	GT29	GT29 sialyltransferase (EC 2.4.99.-); beta-galactoside alpha-2,6-sialyltransferase (EC 2.4.99.1); alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase (EC 2.4.99.3); beta-galactoside alpha-2,3-sialyltransferase (EC 2.4.99.4); N-acetyllactosaminide alpha-2,3-sialyltransferase (EC 2.4.99.6); (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase (EC 2.4.99.7); alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase (EC 2.4.99.8); lactosylceramide alpha-2,3-sialyltransferase (EC 2.4.99.9)	2.4.1.-,2.4.99.1,2.4.99.3,2.4.99.4,2.4.99.6,2.4.99.7,2.4.99.8,2.4.99.9,2.4.99.-	GT29.hmm	VOG05208	REFSEQ putative beta-galactoside alpha-2,6-sialyltransferase 1; Xu	Xu	0	False	F
NC_055555.1_5	NC_055555.1	NC_055555.1	5	3715	4242	-1	E			YP_010087450.1	YP_010087450.1 E3-MARCH8-like protein [Phascolarctid gammaherpesvirus 1]	True	0.981	364.0	9.874e-115													VOG02801	sp|Q9Q8T2|LAP_RFVKA E3 ubiquitin-protein ligase LAP; XhXp	Xp;Xh	0	False	F
NC_055555.1_6	NC_055555.1	NC_055555.1	6	5044	5727	1	D			YP_010087378.1	YP_010087378.1 E3-M1 [Vombatid gammaherpesvirus 1]	False	0.391	71.0	1.006e-12								RING-variant domain [PF12906.10]					VOG02801	sp|Q9Q8T2|LAP_RFVKA E3 ubiquitin-protein ligase LAP; XhXp	Xp;Xh	0	False	
NC_055555.1_7	NC_055555.1	NC_055555.1	7	6107	6865	-1	E			YP_010087451.1	YP_010087451.1 hypothetical protein KM711_gp05 [Phascolarctid gammaherpesvirus 1]	True	1.0	559.0	8.322e-181													VOG31663	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_055555.1_8	NC_055555.1	NC_055555.1	8	7244	7927	1	E			YP_010087452.1	YP_010087452.1 hypothetical protein KM711_gp06 [Phascolarctid gammaherpesvirus 1]	True	1.0	495.0	3.885e-159																0	False	
NC_055555.1_9	NC_055555.1	NC_055555.1	9	8109	8687	1	E			YP_010087453.1	YP_010087453.1 vbcl-2b [Phascolarctid gammaherpesvirus 1]	True	0.942	381.0	2.076e-120													VOG02922	sp|P0CK58|BALF1_EBVB9 Apoptosis regulator BALF1; XhXp	Xp;Xh	0	False	
NC_055555.1_10	NC_055555.1	NC_055555.1	10	8867	12253	1	D			YP_010087454.1	YP_010087454.1 ICP8 [Phascolarctid gammaherpesvirus 1]	True	0.978	2323.0	0.0								ssDNA binding protein [PF00747.20]					VOG07860	sp|P24910|DNBI_SHV21 Major DNA-binding protein; Xr	Xr	0	False	V
