	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_005884_1	NC_005884	NC_005884	1	380	1105	-1	E	YP_024729.1	YP_024729.1 hypothetical protein PaP2_gp01 [Pseudomonas phage PaP2]	True	0.966	492	6.865e-158									VOG20151	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_005884_2	NC_005884	NC_005884	2	1156	1353	-1	E	YP_024730.1	YP_024730.1 hypothetical protein PaP2_gp02 [Pseudomonas phage PaP2]	False	0.986	138	2.678e-38									VOG29877	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_005884_3	NC_005884	NC_005884	3	1378	1677	-1	E	YP_001218805.1	YP_001218805.1 hypothetical protein PP119X_gp03 [Pseudomonas phage 119X]	False	0.992	210	1.045e-62									VOG20152	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_005884_4	NC_005884	NC_005884	4	1682	1891	-1	E	YP_001218806.1	YP_001218806.1 hypothetical protein PP119X_gp04 [Pseudomonas phage 119X]	False	0.973	144	2.066e-40									VOG20153	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_005884_5	NC_005884	NC_005884	5	2269	2853	1	E	YP_024733.1	YP_024733.1 terminase [Pseudomonas phage PaP2]	True	0.927	379	2.077e-119									VOG20154	REFSEQ terminase; Xu	Xu	0	False	F
NC_005884_6	NC_005884	NC_005884	6	2970	4580	1	E	YP_024735.1	YP_024735.1 putative head assembly cofactor [Pseudomonas phage PaP2]	True	0.979	1108	0.0									VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xr;Xh	0	False	VF
NC_005884_7	NC_005884	NC_005884	7	4570	6570	1	E	YP_024736.1	YP_024736.1 portal protein [Pseudomonas phage PaP2]	True	0.951	1332	0.0									VOG20160	REFSEQ portal protein; Xu	Xu	0	False	F
NC_005884_8	NC_005884	NC_005884	8	6545	7114	1	E	YP_010088884.1	YP_010088884.1 putative nucleotide triphosphate hydrolase [Pseudomonas phage PaMx41]	True	0.996	400	6.544e-127									VOG02121	sp|Q7Y4Y9|DNMK_BPR69 Deoxynucleotide monophosphate kinase; Xh	Xh	0	False	
NC_005884_9	NC_005884	NC_005884	9	7290	7658	1	E	YP_024738.1	YP_024738.1 hypothetical protein PaP2_gp10 [Pseudomonas phage PaP2]	False	0.916	236	2.807e-71									VOG20156	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_005884_10	NC_005884	NC_005884	10	7664	8410	1	E	YP_024739.1	YP_024739.1 hypothetical protein PaP2_gp11 [Pseudomonas phage PaP2]	True	0.925	482	3.468e-154									VOG20155	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_005884_11	NC_005884	NC_005884	11	8425	9681	1	D	YP_024741.1	YP_024741.1 major head protein [Pseudomonas phage PaP2]	True	0.955	841	5.258000000000001e-275								Family of unknown function (DUF5309) [PF17236.5]	VOG20158	REFSEQ major head protein; Xu	Xu	0	False	
NC_005884_12	NC_005884	NC_005884	12	9767	10183	1	E	YP_024742.1	YP_024742.1 hypothetical protein PaP2_gp14 [Pseudomonas phage PaP2]	False	0.94	274	2.194e-84									VOG20159	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_005884_13	NC_005884	NC_005884	13	10186	10839	1	E	YP_001218816.1	YP_001218816.1 virion structural protein [Pseudomonas phage 119X]	True	0.994	458	2.481e-146									VOG20162	REFSEQ virion structural protein; Xu	Xu	0	False	
NC_005884_14	NC_005884	NC_005884	14	10851	11198	1	E	YP_010088890.1	YP_010088890.1 hypothetical protein KNT55_gp15 [Pseudomonas phage PaMx41]	False	0.911	221	2.387e-66									VOG20163	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_005884_15	NC_005884	NC_005884	15	11478	11828	1	D	YP_024745.1	YP_024745.1 endolysin [Pseudomonas phage PaP2]	False	0.985	243	5.188e-74	MER0086056	M15C	MER0086056 - subfamily M15C unassigned peptidases (Yersinia pseudotuberculosis) [M15.UPC]#M15C#{peptidase unit: 3-105}~source ACC90234~	False	103.0	5.106e-25	0.508	D-alanyl-D-alanine carboxypeptidase [PF13539.9]				0	False	P
NC_005884_16	NC_005884	NC_005884	16	12047	12343	1	E	YP_010088894.1	YP_010088894.1 putative espanin RZ1-like protein [Pseudomonas phage PaMx41]	False	0.93	193	5.813e-57												0	False	
