	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	heme_regulatory_motif_count
KC292025_KC292025.1_1	KC292025	KC292025.1	1	1	594	1	E				0
KC292025_KC292025.1_2	KC292025	KC292025.1	2	818	1495	1	E				0
KC292025_KC292025.1_3	KC292025	KC292025.1	3	1495	1821	1	E				0
KC292025_KC292025.1_4	KC292025	KC292025.1	4	1821	2087	1	E				0
KC292025_KC292025.1_5	KC292025	KC292025.1	5	2342	2848	1	E				0
KC292025_KC292025.1_6	KC292025	KC292025.1	6	2848	3039	1	E				0
KC292025_KC292025.1_7	KC292025	KC292025.1	7	3039	4901	1	D			Phage terminase large subunit gpA, ATPase domain [PF05876.15]	0
KC292025_KC292025.1_8	KC292025	KC292025.1	8	5001	6284	1	E				0
KC292025_KC292025.1_9	KC292025	KC292025.1	9	6605	9439	1	E				1
KC292025_KC292025.1_10	KC292025	KC292025.1	10	9439	12738	1	E				0
KC292025_KC292025.1_11	KC292025	KC292025.1	11	12735	13022	1	E				0
KC292025_KC292025.1_12	KC292025	KC292025.1	12	13022	14008	1	D			Phage Mu protein F like protein [PF04233.17]	0
KC292025_KC292025.1_13	KC292025	KC292025.1	13	14114	14566	1	E				0
KC292025_KC292025.1_14	KC292025	KC292025.1	14	14563	14904	1	E				0
KC292025_KC292025.1_15	KC292025	KC292025.1	15	14886	15119	-1	E				0
KC292025_KC292025.1_16	KC292025	KC292025.1	16	15181	16659	1	E				0
KC292025_KC292025.1_17	KC292025	KC292025.1	17	16659	17066	1	E				0
KC292025_KC292025.1_18	KC292025	KC292025.1	18	17073	18173	1	E				0
KC292025_KC292025.1_19	KC292025	KC292025.1	19	18179	18595	1	E				0
KC292025_KC292025.1_20	KC292025	KC292025.1	20	18602	18958	1	E				0
KC292025_KC292025.1_21	KC292025	KC292025.1	21	18961	19437	1	E				0
KC292025_KC292025.1_22	KC292025	KC292025.1	22	19430	19957	1	E				0
KC292025_KC292025.1_23	KC292025	KC292025.1	23	19957	20505	1	E				0
KC292025_KC292025.1_24	KC292025	KC292025.1	24	20512	20985	1	E				0
KC292025_KC292025.1_25	KC292025	KC292025.1	25	20986	22005	1	E				0
KC292025_KC292025.1_26	KC292025	KC292025.1	26	22013	22762	1	E				0
KC292025_KC292025.1_27	KC292025	KC292025.1	27	23314	23928	-1	E				0
KC292025_KC292025.1_28	KC292025	KC292025.1	28	24105	24617	1	E				0
KC292025_KC292025.1_29	KC292025	KC292025.1	29	24643	25020	1	E				0
KC292025_KC292025.1_30	KC292025	KC292025.1	30	25013	27325	1	E				0
KC292025_KC292025.1_31	KC292025	KC292025.1	31	27332	29917	1	D			Concanavalin A-like lectin/glucanases superfamily [PF13385.9]	0
KC292025_KC292025.1_32	KC292025	KC292025.1	32	29925	31043	1	E				0
KC292025_KC292025.1_33	KC292025	KC292025.1	33	31107	31847	1	E				0
KC292025_KC292025.1_34	KC292025	KC292025.1	34	31844	32461	1	E				0
KC292025_KC292025.1_35	KC292025	KC292025.1	35	32482	34218	1	E				0
KC292025_KC292025.1_36	KC292025	KC292025.1	36	35245	36072	1	E				0
KC292025_KC292025.1_37	KC292025	KC292025.1	37	36338	36532	1	E				0
KC292025_KC292025.1_38	KC292025	KC292025.1	38	36532	36783	1	E				0
KC292025_KC292025.1_39	KC292025	KC292025.1	39	36776	37126	1	E				1
KC292025_KC292025.1_40	KC292025	KC292025.1	40	37472	37669	1	E				0
KC292025_KC292025.1_41	KC292025	KC292025.1	41	37802	39052	1	E				0
KC292025_KC292025.1_42	KC292025	KC292025.1	42	39049	39399	1	E				0
KC292025_KC292025.1_43	KC292025	KC292025.1	43	39482	40285	1	C	K04802	proliferating cell nuclear antigen	Proliferating cell nuclear antigen, C-terminal domain [PF02747.18]; Proliferating cell nuclear antigen, N-terminal domain [PF00705.21]	0
KC292025_KC292025.1_44	KC292025	KC292025.1	44	40408	40647	1	E				0
KC292025_KC292025.1_45	KC292025	KC292025.1	45	40640	41245	1	E				0
KC292025_KC292025.1_46	KC292025	KC292025.1	46	41238	41399	1	E				0
KC292025_KC292025.1_47	KC292025	KC292025.1	47	41383	41808	1	E				0
KC292025_KC292025.1_48	KC292025	KC292025.1	48	41930	42586	1	E				0
KC292025_KC292025.1_49	KC292025	KC292025.1	49	42583	42978	1	E				0
KC292025_KC292025.1_50	KC292025	KC292025.1	50	42929	43408	1	E				0
KC292025_KC292025.1_51	KC292025	KC292025.1	51	43398	43625	1	E				0
KC292025_KC292025.1_52	KC292025	KC292025.1	52	43625	44113	1	E				0
KC292025_KC292025.1_53	KC292025	KC292025.1	53	44091	44531	1	E				0
KC292025_KC292025.1_54	KC292025	KC292025.1	54	44515	44736	1	E				0
KC292025_KC292025.1_55	KC292025	KC292025.1	55	44733	45263	1	D			Domain of unknown function (DUF4326) [PF14216.9]	0
KC292025_KC292025.1_56	KC292025	KC292025.1	56	45263	45796	1	E				0
KC292025_KC292025.1_57	KC292025	KC292025.1	57	45796	46326	1	E				0
KC292025_KC292025.1_58	KC292025	KC292025.1	58	46323	46637	1	E				0
KC292025_KC292025.1_59	KC292025	KC292025.1	59	46924	47712	1	E				0
KC292025_KC292025.1_60	KC292025	KC292025.1	60	47712	48311	1	D			Branched-chain polyamine synthase A C-terminal domain [PF01861.19]	0
KC292025_KC292025.1_61	KC292025	KC292025.1	61	48308	48622	1	E				0
