Target Name	ID	EC value	E-Value (sequence)	Score (domain)
NC_008380.1_1388665_1389834_-	K00001		7.9e-97	324.1
NC_008380.1_2208796_2210121_+	K00003		8.3e-154	512.5
NC_008383.1_74075_75136_-	K00003		1.2e-110	369.8
NC_008380.1_700680_701651_+	K00008		2e-95	318.7
NC_008384.1_184009_185034_+	K00008		1.5e-83	279.5
NC_008380.1_3810859_3811851_+	K00010		4e-123	410.3
NC_008378.1_29268_30344_+	K00010		1.8e-63	213.6
NC_008380.1_3523104_3524162_-	K00010		1.7e-48	164.4
NC_008384.1_520834_522099_+	K00010		4.8e-46	155.8
NC_008378.1_22552_23700_-	K00010		8.6e-46	155.3
NC_008380.1_3867167_3868495_+	K00012		7e-197	654.0
NC_008380.1_664326_665624_+	K00013		2.1e-191	636.8
NC_008380.1_3008975_3009817_-	K00014		1.3e-96	321.9
NC_008380.1_1921_2778_+	K00014		2.9e-91	304.3
NC_008380.1_3011798_3012682_-	K00014		7.4e-56	187.8
NC_008384.1_96293_97123_+	K00014		7.5e-52	174.8
NC_008380.1_175207_176208_+	K00015		5.3e-135	449.7
NC_008384.1_174618_175556_-	K00015		7.6e-68	228.2
NC_008380.1_1295526_1296353_-	K00019		1.6e-52	177.5
NC_008380.1_3985284_3986186_-	K00019		1.6e-42	144.4
NC_008384.1_440786_441667_+	K00020		1.1e-115	386.0
NC_008384.1_159996_160910_-	K00020		2.6e-76	256.0
NC_008380.1_3018897_3019778_+	K00020		7.7e-21	72.8
NC_008379.1_216149_217051_-	K00020		1.7e-18	65.1
NC_008380.1_4913288_4914013_-	K00023		2.8e-115	383.0
NC_008380.1_4721163_4722125_-	K00024		3.3e-129	430.5
NC_008380.1_444175_446460_+	K00027		1.1e-162	542.1
NC_008380.1_2823139_2825451_+	K00027		8.8e-159	529.1
NC_008381.1_110363_110620_+	K00030		3.2e-09	34.5
NC_008380.1_2771264_2772475_+	K00031		1.7e-223	742.1
NC_008380.1_2968219_2969649_-	K00033		9e-198	657.3
NC_008380.1_4225785_4226816_-	K00033		6.2e-107	357.2
NC_008378.1_118244_119017_-	K00034		4.6e-90	300.2
NC_008384.1_457639_458451_+	K00034		2e-79	265.2
NC_008380.1_392726_393490_-	K00034		1.5e-78	262.4
NC_008380.1_4481184_4481963_-	K00034		2.4e-76	255.2
NC_008380.1_4493783_4494604_+	K00034		5.1e-69	231.0
NC_008380.1_1642799_1643725_-	K00035		8.4e-150	496.9
NC_008380.1_803477_804952_-	K00036		4.3e-189	628.6
NC_008380.1_1378039_1379547_-	K00036		1.3e-170	567.5
NC_008378.1_611772_613238_-	K00036		2e-160	533.8
NC_008380.1_1266575_1267294_-	K00038		2.9e-90	301.3
NC_008380.1_4051606_4052361_-	K00038		4.9e-84	280.8
NC_008384.1_192836_193591_+	K00038		2e-82	275.5
NC_008381.1_477196_477924_-	K00039		5.2e-129	427.8
NC_008379.1_116187_116987_+	K00039		1.5e-125	416.4
NC_008380.1_694282_695007_+	K00039		3.3e-119	395.7
NC_008380.1_125075_126532_-	K00040		4.7e-170	565.4
NC_008380.1_2929718_2930587_+	K00042		5.2e-135	449.1
NC_008380.1_4011864_4012739_+	K00042		3.9e-132	439.6
NC_008380.1_3977497_3978408_-	K00042		2e-110	368.2
NC_008381.1_408863_409756_+	K00042		7.4e-95	316.9
NC_008380.1_3509650_3510801_-	K00043		5.9e-102	339.9
NC_008380.1_4464300_4465781_-	K00045		8.7e-243	805.8
NC_008381.1_407475_408302_+	K00046		2.1e-119	396.1
NC_008384.1_99042_99974_-	K00046		1.4e-118	393.5
NC_008380.1_2998139_2998909_-	K00046		1.9e-97	324.3
NC_008380.1_5009319_5010431_+	K00052		1.8e-160	533.9
NC_008380.1_3356982_3358001_-	K00053		3.1e-140	467.5
NC_008378.1_548573_549679_+	K00055		1.2e-161	536.5
NC_008380.1_4775166_4776149_-	K00057		1.1e-111	373.0
NC_008380.1_4185030_4186625_-	K00058		1.9e-152	506.6
NC_008378.1_638897_639871_+	K00058		1.3e-88	296.2
NC_008381.1_292815_293831_+	K00058		4.7e-64	215.2
NC_008380.1_109182_110192_+	K00058		1.3e-62	210.6
NC_008379.1_294972_296033_-	K00058		5.1e-49	165.7
NC_008380.1_1625930_1626667_+	K00059		1.9e-100	335.3
NC_008380.1_3986273_3987016_-	K00059		8.2e-92	306.9
NC_008380.1_1261818_1262615_+	K00059		1.1e-90	303.2
NC_008380.1_518920_519660_+	K00059		7.5e-89	297.1
NC_008381.1_476377_477141_-	K00059		1.2e-87	293.0
NC_008380.1_3571363_3572400_-	K00060		2.7e-174	577.7
NC_008380.1_560977_561999_-	K00064		3.6e-127	423.4
NC_008384.1_572587_573342_-	K00065		1.2e-133	444.6
NC_008380.1_2882178_2882966_+	K00065		9.9e-82	273.6
NC_008383.1_38920_39687_+	K00065		2.7e-80	268.9
NC_008380.1_1698422_1699309_-	K00067		3.3e-118	394.4
NC_008380.1_4590966_4591847_+	K00074		1e-137	459.0
NC_008380.1_3464853_3465827_-	K00075		4e-98	328.0
NC_008380.1_1902890_1903891_-	K00077		7.9e-74	248.1
NC_008383.1_24497_26875_+	K00087		7.2e-208	691.3
NC_008380.1_915252_916736_+	K00088		1.4e-204	679.9
NC_008380.1_3237991_3238881_+	K00091		3.1e-22	76.9
NC_008380.1_3387897_3389171_+	K00091		1.9e-21	67.3
NC_008380.1_1632389_1633417_-	K00097		2.8e-147	490.8
NC_008381.1_405420_406451_-	K00098		1.1e-145	483.4
NC_008378.1_435712_436746_+	K00098		2.7e-139	462.4
NC_008380.1_4641869_4643059_+	K00099		1.8e-157	523.6
NC_008380.1_3761330_3762472_+	K00101		2.3e-156	520.8
NC_008380.1_2184168_2185355_-	K00101		4.9e-142	473.4
NC_008380.1_481874_483022_-	K00101		2.4e-138	461.2
NC_008380.1_3412908_3414320_-	K00102		9.3e-224	743.4
NC_008380.1_932409_933848_+	K00104		3.1e-194	646.0
NC_008378.1_327454_328863_+	K00104		9.8e-47	143.5
NC_008380.1_1333279_1334928_-	K00108		9.3e-257	853.0
NC_008384.1_439171_440775_+	K00108		2.1e-201	669.9
NC_008380.1_1921840_1923495_+	K00108		4e-197	655.6
NC_008378.1_832192_833823_+	K00108		5.3e-197	655.0
NC_008378.1_306748_308379_-	K00108		8.6e-156	516.2
NC_008378.1_203836_205587_-	K00111		1.3e-116	389.0
NC_008378.1_828064_829812_+	K00111		1.4e-116	389.0
NC_008380.1_1415407_1417746_-	K00117		2.4e-259	861.3
NC_008378.1_569136_570263_+	K00121		6.6e-188	624.5
NC_008380.1_4669208_4672087_-	K00123		0	1081.4
NC_008378.1_553351_555645_+	K00123		2.1e-82	276.0
NC_008380.1_4668111_4668356_-	K00126		5.5e-32	109.8
NC_008380.1_3182176_3183018_-	K00127		4.1e-18	61.0
NC_008380.1_2904608_2906995_+	K00128		4.8e-220	594.6
NC_008380.1_1335148_1336611_-	K00130		2.9e-199	661.6
NC_008380.1_1914158_1915678_+	K00130		1.3e-184	613.2
NC_008378.1_686905_688368_-	K00130		8e-166	551.3
NC_008380.1_2904608_2906995_+	K00130		1.1e-211	153.7
NC_008380.1_5018578_5019612_+	K00133		7.7e-143	476.0
NC_008380.1_4234629_4235639_+	K00134		6.3e-153	509.5
NC_008381.1_129385_130836_+	K00135		9.2e-252	836.0
NC_008380.1_128390_129916_-	K00135		1.9e-249	828.2
NC_008381.1_256447_257901_+	K00135		5.1e-243	807.1
NC_008378.1_684379_685836_-	K00135		4.4e-235	780.9
NC_008378.1_654276_655763_+	K00135		1.6e-220	732.7
NC_008380.1_4447036_4448463_+	K00137		3.7e-243	805.8
NC_008380.1_4525038_4526546_+	K00138		0	1104.1
NC_008380.1_840861_842357_+	K00140		9.6e-274	909.6
NC_008380.1_1747476_1748408_-	K00145		8.8e-82	273.8
NC_008381.1_63804_64844_+	K00146		3e-116	387.1
NC_008380.1_4986134_4987375_+	K00147		1.2e-183	610.0
NC_008381.1_380771_381961_-	K00148		1.2e-177	589.0
NC_008378.1_549701_551140_+	K00154		5.3e-203	673.6
NC_008380.1_2362713_2363759_+	K00161		2.2e-169	563.3
NC_008380.1_2363775_2365166_+	K00162		5.4e-194	643.9
NC_008380.1_4715360_4718443_-	K00164		0	1378.5
NC_008381.1_316138_317370_+	K00166		1e-144	482.2
NC_008381.1_317372_318385_+	K00167		1.4e-163	544.2
NC_008380.1_1094316_1095113_-	K00208		4.1e-132	439.2
NC_008380.1_145998_146804_+	K00208		2.8e-128	426.6
NC_008380.1_214340_215164_-	K00215		1.5e-84	283.1
NC_008380.1_3165267_3166037_+	K00215		4.6e-78	261.7
NC_008378.1_222958_224016_-	K00217		1.8e-148	493.2
NC_008378.1_95970_97028_-	K00217		7.2e-144	478.0
NC_008384.1_537507_538892_-	K00219		1.5e-46	147.4
NC_008380.1_4606337_4607260_-	K00220		1.6e-154	512.2
NC_008380.1_3666581_3667492_+	K00228		2e-120	401.4
NC_008380.1_4725211_4727052_-	K00234		0	1151.0
NC_008380.1_4724413_4725192_-	K00235		5.9e-143	475.7
NC_008380.1_4727450_4727872_-	K00236		2.7e-24	84.8
NC_008380.1_1924696_1926780_+	K00239		6.1e-63	211.4
NC_008380.1_4727059_4727439_-	K00242		4.5e-36	123.0
NC_008381.1_314945_316072_+	K00248		1.8e-170	566.9
NC_008381.1_387936_389096_+	K00249		3.5e-117	390.9
NC_008384.1_419131_420318_-	K00252		4.7e-213	706.9
NC_008381.1_309826_311082_-	K00253		2.1e-215	715.3
NC_008380.1_2072307_2073425_+	K00259		1.6e-168	559.4
NC_008381.1_58965_59414_-	K00260		4.6e-51	172.4
NC_008380.1_4316437_4321320_-	K00265		0	2398.9
NC_008380.1_4314756_4316402_-	K00266		3.4e-174	579.5
