	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001428.1_1	QGNH01001428.1	QGNH01001428.1	1	3	332	-1	E											0	False	F
QGNH01001428.1_2	QGNH01001428.1	QGNH01001428.1	2	334	804	-1	E											0	False	F
QGNH01001428.1_3	QGNH01001428.1	QGNH01001428.1	3	808	4758	-1	E											0	False	F
QGNH01001428.1_4	QGNH01001428.1	QGNH01001428.1	4	5025	6350	-1	E											0	False	
QGNH01001428.1_5	QGNH01001428.1	QGNH01001428.1	5	6361	6576	-1	E											0	False	
QGNH01001428.1_6	QGNH01001428.1	QGNH01001428.1	6	6589	6786	-1	E											0	False	
QGNH01001428.1_7	QGNH01001428.1	QGNH01001428.1	7	6918	7103	-1	E											0	False	
QGNH01001428.1_8	QGNH01001428.1	QGNH01001428.1	8	7129	8202	-1	E											0	False	
QGNH01001428.1_9	QGNH01001428.1	QGNH01001428.1	9	8280	8657	-1	E											0	False	
QGNH01001428.1_10	QGNH01001428.1	QGNH01001428.1	10	8670	9344	-1	E											0	False	
QGNH01001428.1_11	QGNH01001428.1	QGNH01001428.1	11	9357	10550	-1	E											0	False	
QGNH01001428.1_12	QGNH01001428.1	QGNH01001428.1	12	10564	11616	-1	E											0	False	
QGNH01001428.1_13	QGNH01001428.1	QGNH01001428.1	13	12545	14182	-1	E											0	False	
QGNH01001428.1_14	QGNH01001428.1	QGNH01001428.1	14	14140	15234	-1	E											0	False	
QGNH01001428.1_15	QGNH01001428.1	QGNH01001428.1	15	15250	15999	-1	E											0	False	
QGNH01001428.1_16	QGNH01001428.1	QGNH01001428.1	16	16017	18992	-1	E											0	False	
QGNH01001428.1_17	QGNH01001428.1	QGNH01001428.1	17	18989	19234	-1	E											0	False	
QGNH01001428.1_18	QGNH01001428.1	QGNH01001428.1	18	19373	19582	-1	E											0	False	
QGNH01001428.1_19	QGNH01001428.1	QGNH01001428.1	19	19604	21823	-1	E											0	False	
QGNH01001428.1_20	QGNH01001428.1	QGNH01001428.1	20	21833	22171	-1	E											0	False	F
QGNH01001428.1_21	QGNH01001428.1	QGNH01001428.1	21	22176	22919	-1	E											0	False	F
QGNH01001428.1_22	QGNH01001428.1	QGNH01001428.1	22	23002	23259	-1	D							KTSC domain [PF13619.9]				0	False	F
QGNH01001428.1_23	QGNH01001428.1	QGNH01001428.1	23	23256	23519	-1	E											0	False	F
QGNH01001428.1_24	QGNH01001428.1	QGNH01001428.1	24	23602	23766	1	E											0	False	F
QGNH01001428.1_25	QGNH01001428.1	QGNH01001428.1	25	23763	26084	-1	E	YP_010661198.1	YP_010661198.1 terminase large subunit [Rhizobium phage RHph_Y68]	False	68.0	2.76e-10	0.226					0	False	F
QGNH01001428.1_26	QGNH01001428.1	QGNH01001428.1	26	26142	26867	-1	E											0	False	F
