	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
AF222060.2_1	AF222060	AF222060.2	1	1970	2875	1	E			NP_861589.2	NP_861589.2 hypothetical protein HfxHF1_005 [Halophage HF1]	True	0.939	595	2.9250000000000002e-192									VOG23963	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AF222060.2_2	AF222060	AF222060.2	2	2979	3320	1	E			NP_861590.2	NP_861590.2 hypothetical protein HfxHF1_010 [Halophage HF1]	False	0.953	229	5.352e-69									VOG23962	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AF222060.2_3	AF222060	AF222060.2	3	3313	3663	1	E			NP_861591.1	NP_861591.1 hypothetical protein HfxHF1_015 [Halophage HF1]	False	0.95	234	1.019e-70									VOG23961	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AF222060.2_4	AF222060	AF222060.2	4	3987	4346	1	E			NP_861593.1	NP_861593.1 hypothetical protein HfxHF1_030 [Halophage HF1]	False	1.0	259	2.678e-79									VOG23957	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AF222060.2_5	AF222060	AF222060.2	5	4446	4736	1	E			NP_861594.1	NP_861594.1 hypothetical protein HfxHF1_035 [Halophage HF1]	False	0.949	194	3.841e-57									VOG23958	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AF222060.2_6	AF222060	AF222060.2	6	4744	4881	1	E			YP_009725272.1	YP_009725272.1 hypothetical protein HfxHF1_040 [Halophage HF1]	False	1.0	98	5.603000000000001e-25									VOG23956	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AF222060.2_7	AF222060	AF222060.2	7	5112	5255	1	E			NP_861595.1	NP_861595.1 hypothetical protein HfxHF1_050 [Halophage HF1]	False	0.96	97	1.174e-24									VOG23955	REFSEQ hypothetical protein; Xu	Xu	0	False	
AF222060.2_8	AF222060	AF222060.2	8	5252	5530	1	E			NP_861596.1	NP_861596.1 hypothetical protein HfxHF1_055 [Halophage HF1]	False	0.92	179	2.774e-52									VOG23954	REFSEQ hypothetical protein; Xu	Xu	0	False	
AF222060.2_9	AF222060	AF222060.2	9	5530	5637	1	E			NP_861597.1	NP_861597.1 hypothetical protein HfxHF1_060 [Halophage HF1]	False	1.0	76	1.27e-17									VOG23952	REFSEQ hypothetical protein; Xu	Xu	0	False	
AF222060.2_10	AF222060	AF222060.2	10	5641	5889	1	E			NP_542506.1	NP_542506.1 hypothetical protein HrrHF2_065 [Halorubrum phage HF2]	False	0.962	168	1.189e-48									VOG14408	REFSEQ hypothetical protein; Xu	Xu	0	False	
AF222060.2_11	AF222060	AF222060.2	11	5889	6008	1	E			NP_542507.1	NP_542507.1 hypothetical protein HrrHF2_070 [Halorubrum phage HF2]	False	0.898	76	2.981e-17									VOG23951	REFSEQ hypothetical protein; Xu	Xu	0	False	
AF222060.2_12	AF222060	AF222060.2	12	6005	6673	1	E			NP_861600.1	NP_861600.1 putative CxxC motif protein [Halophage HF1]	True	1.0	487	1.679e-156									VOG04964	REFSEQ hypothetical protein; Xu	Xu	0	False	
AF222060.2_13	AF222060	AF222060.2	13	6692	7057	1	E			NP_861601.1	NP_861601.1 putative CxxC motif protein [Halophage HF1]	False	1.0	265	1.3749999999999996e-81									VOG23953	REFSEQ hypothetical protein; Xu	Xu	0	False	
AF222060.2_14	AF222060	AF222060.2	14	7054	7323	1	E			NP_861602.1	NP_861602.1 hypothetical protein HfxHF1_085 [Halophage HF1]	False	0.977	186	1.518e-54									VOG23950	REFSEQ hypothetical protein; Xu	Xu	0	False	
AF222060.2_15	AF222060	AF222060.2	15	7605	7781	1	E			YP_009725276.1	YP_009725276.1 putative CxxC motif protein [Halophage HF1]	False	1.0	138	9.940999999999999e-39									VOG23948	REFSEQ hypothetical protein; Xu	Xu	0	False	
AF222060.2_16	AF222060	AF222060.2	16	7781	7969	1	E			YP_009725277.1	YP_009725277.1 hypothetical protein HfxHF1_105 [Halophage HF1]	False	1.0	141	1.8239999999999998e-39									VOG23946	REFSEQ hypothetical protein; Xu	Xu	0	False	
AF222060.2_17	AF222060	AF222060.2	17	7986	8837	1	E			NP_861603.1	NP_861603.1 hypothetical protein HfxHF1_110 [Halophage HF1]	True	1.0	602	5.903e-195									VOG23947	REFSEQ hypothetical protein; Xu	Xu	0	False	
AF222060.2_18	AF222060	AF222060.2	18	8834	9052	1	E			NP_861604.1	NP_861604.1 hypothetical protein HfxHF1_115 [Halophage HF1]	False	0.946	145	6.771e-41									VOG35482	REFSEQ hypothetical protein; Xu	Xu	0	False	
AF222060.2_19	AF222060	AF222060.2	19	9123	9776	1	E			NP_861605.1	NP_861605.1 hypothetical protein HfxHF1_120 [Halophage HF1]	True	0.988	455	2.256e-145									VOG23945	REFSEQ hypothetical protein; Xu	Xu	0	False	
AF222060.2_20	AF222060	AF222060.2	20	9784	10116	1	E			NP_861606.1	NP_861606.1 hypothetical protein HfxHF1_125 [Halophage HF1]	False	0.949	222	1.3649999999999998e-66									VOG23944	REFSEQ hypothetical protein; Xu	Xu	0	False	
AF222060.2_21	AF222060	AF222060.2	21	10138	10290	1	E			YP_009725278.1	YP_009725278.1 hypothetical protein HfxHF1_130 [Halophage HF1]	False	0.969	104	4.541e-27									VOG23942	REFSEQ hypothetical protein; Xu	Xu	0	False	
AF222060.2_22	AF222060	AF222060.2	22	10371	12167	1	D			NP_861607.1	NP_861607.1 DNA helicase [Halophage HF1]	True	0.993	1255	0.0								Helicase C-terminal domain [PF13307.9]; Type III restriction enzyme, res subunit [PF04851.18]	VOG04419	sp|Q4JC68|XPD_SULAC ATP-dependent DNA helicase Saci_0192; Xh	Xh	0	False	
AF222060.2_23	AF222060	AF222060.2	23	12217	12615	1	E			NP_861608.1	NP_861608.1 hypothetical protein HfxHF1_145 [Halophage HF1]	False	0.98	275	1.198e-84									VOG04983	REFSEQ hypothetical protein; Xu	Xu	0	False	
AF222060.2_24	AF222060	AF222060.2	24	12615	12881	1	E			YP_009725279.1	YP_009725279.1 hypothetical protein HfxHF1_150 [Halophage HF1]	False	0.991	186	7.674e-55									VOG23940	REFSEQ hypothetical protein; Xu	Xu	0	False	
AF222060.2_25	AF222060	AF222060.2	25	13034	13210	1	E			YP_009725281.1	YP_009725281.1 hypothetical protein HfxHF1_160 [Halophage HF1]	False	1.0	128	2.737e-35									VOG23939	REFSEQ hypothetical protein; Xu	Xu	0	False	
AF222060.2_26	AF222060	AF222060.2	26	13210	13629	1	E			NP_861609.1	NP_861609.1 HNH endonuclease [Halophage HF1]	False	1.0	306	3.383e-95												0	False	
AF222060.2_27	AF222060	AF222060.2	27	13632	14063	1	E			NP_861610.1	NP_861610.1 hypothetical protein HfxHF1_170 [Halophage HF1]	False	0.981	298	1.654e-92									VOG23937	REFSEQ hypothetical protein; Xu	Xu	0	False	
AF222060.2_28	AF222060	AF222060.2	28	14063	14200	1	E			YP_009725282.1	YP_009725282.1 putative CxxC motif protein [Halophage HF1]	False	1.0	107	5.207e-28									VOG03902	REFSEQ hypothetical protein; Xu	Xu	0	False	
