	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000501.1_1	QGNH01000501.1	QGNH01000501.1	1	1	3468	1	E																						0	False	F
QGNH01000501.1_2	QGNH01000501.1	QGNH01000501.1	2	3518	4291	1	E																						0	False	F
QGNH01000501.1_3	QGNH01000501.1	QGNH01000501.1	3	4303	5835	1	E																						0	False	F
QGNH01000501.1_4	QGNH01000501.1	QGNH01000501.1	4	5838	6584	-1	E																			VOG00649	sp|P07074|MOBC_BPT4 Probable mobile endonuclease C; Xu	Xu	0	False	
QGNH01000501.1_5	QGNH01000501.1	QGNH01000501.1	5	6891	7556	1	E																						0	False	
QGNH01000501.1_6	QGNH01000501.1	QGNH01000501.1	6	7601	10660	1	E	YP_007348999.1	YP_007348999.1 hypothetical protein G646_gp020 [Serratia phage phiMAM1]	False	0.451	90.0	1.042e-16													VOG14357	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01000501.1_7	QGNH01000501.1	QGNH01000501.1	7	10714	11427	1	E	YP_010052629.1	YP_010052629.1 HNH endonuclease [Xanthomonas virus phiXaf18]	False	0.315	116.0	1.095e-27													VOG00117	REFSEQ HNH endonuclease; Xu	Xu	0	False	
QGNH01000501.1_8	QGNH01000501.1	QGNH01000501.1	8	11435	12304	1	E	YP_009287971.1	YP_009287971.1 hypothetical protein BI081_gp249 [Mycobacterium phage Tonenili]	False	0.259	72.0	2.224e-12													VOG12310	REFSEQ head maturation protease; Xu	Xu	0	False	
QGNH01000501.1_9	QGNH01000501.1	QGNH01000501.1	9	12304	12900	1	E	YP_009839038.1	YP_009839038.1 HNH endonuclease [Streptomyces phage Annadreamy]	False	0.365	106.0	5.352e-25																0	False	
QGNH01000501.1_10	QGNH01000501.1	QGNH01000501.1	10	12904	14937	1	E																						0	False	
QGNH01000501.1_11	QGNH01000501.1	QGNH01000501.1	11	15007	15315	1	E																						0	False	
QGNH01000501.1_12	QGNH01000501.1	QGNH01000501.1	12	15375	16103	1	D	YP_214499.1	YP_214499.1 glycosyltransferase [Prochlorococcus phage P-SSM2]	False	0.371	128.0	8.461e-32								Glycosyltransferase family 6 [PF03414.16]	GT6	GT6 alpha-1,3-galactosyltransferase (EC 2.4.1.87); alpha-1,3 N-acetylgalactosaminyltransferase (EC 2.4.1.40); alpha-galactosyltransferase (EC 2.4.1.37); globoside alpha-N-acetylgalactosaminyltransferase (EC 2.4.1.88).	2.4.1.37,2.4.1.40,2.4.1.87,2.4.1.88	GT6.hmm	VOG17813	sp|A0A4Z3|A3LT2_RAT Alpha-1,3-galactosyltransferase 2; Xh	Xh	0	False	
QGNH01000501.1_13	QGNH01000501.1	QGNH01000501.1	13	16100	16813	1	D														Galactosyltransferase [PF01762.24]; Fringe-like [PF02434.19]								0	False	MK
QGNH01000501.1_14	QGNH01000501.1	QGNH01000501.1	14	16954	17454	1	E																						0	False	
