	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001522.1_1	QGNH01001522.1	QGNH01001522.1	1	124	333	1	E											0	False	F
QGNH01001522.1_2	QGNH01001522.1	QGNH01001522.1	2	330	935	1	E											0	False	F
QGNH01001522.1_3	QGNH01001522.1	QGNH01001522.1	3	991	1626	1	E											0	False	F
QGNH01001522.1_4	QGNH01001522.1	QGNH01001522.1	4	1799	2185	1	E											0	False	F
QGNH01001522.1_5	QGNH01001522.1	QGNH01001522.1	5	2243	3430	1	D	NP_852753.1	NP_852753.1 terminase large subunit [Haemophilus phage Aaphi23]	False	0.494	310.0	6.65e-92	Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]	VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xr;Xh	0	False	VF
QGNH01001522.1_6	QGNH01001522.1	QGNH01001522.1	6	3397	3720	1	D	YP_009819675.1	YP_009819675.1 terminase large subunit [Arthrobacter phage Sonali]	False	0.594	100.0	3.201e-24	Terminase RNaseH-like domain [PF17289.5]				0	False	F
QGNH01001522.1_7	QGNH01001522.1	QGNH01001522.1	7	3717	4442	1	E											0	False	F
QGNH01001522.1_8	QGNH01001522.1	QGNH01001522.1	8	4417	5061	1	E	YP_007236760.1	YP_007236760.1 HNH endonuclease [Burkholderia phage BcepMigl]	False	0.437	151.0	4.236e-40		VOG01554	REFSEQ HNH endonuclease; Xu	Xu	0	False	F
QGNH01001522.1_9	QGNH01001522.1	QGNH01001522.1	9	5064	5192	1	E											0	False	
QGNH01001522.1_10	QGNH01001522.1	QGNH01001522.1	10	5413	6774	1	D	YP_010082625.1	YP_010082625.1 portal protein [Arthrobacter phage Salgado]	False	0.466	326.0	1.566e-96	Protein of unknown function (DUF935) [PF06074.15]	VOG00562	sp|P44225|VG29_HAEIN Mu-like prophage FluMu protein gp29; Xu	Xu	0	False	
QGNH01001522.1_11	QGNH01001522.1	QGNH01001522.1	11	6771	7013	1	E											0	False	
QGNH01001522.1_12	QGNH01001522.1	QGNH01001522.1	12	7013	7876	1	D	YP_010082626.1	YP_010082626.1 head maturation protease [Arthrobacter phage Salgado]	False	0.262	84.0	2.159e-16	Phage Mu protein F like protein [PF04233.17]	VOG19773	REFSEQ head maturation protease; Xu	Xu	0	False	
QGNH01001522.1_13	QGNH01001522.1	QGNH01001522.1	13	7890	8270	1	E											0	False	
QGNH01001522.1_14	QGNH01001522.1	QGNH01001522.1	14	8294	8893	1	E											0	False	
QGNH01001522.1_15	QGNH01001522.1	QGNH01001522.1	15	8952	10232	1	D							O-Antigen ligase [PF04932.18]				0	False	
QGNH01001522.1_16	QGNH01001522.1	QGNH01001522.1	16	10180	11742	1	D	YP_009845445.1	YP_009845445.1 head maturation protease [Bacillus phage vB_BtS_B83]	False	0.414	86.0	3.709e-16	Putative phage serine protease XkdF [PF14550.9]				0	False	
QGNH01001522.1_17	QGNH01001522.1	QGNH01001522.1	17	11810	12886	1	E											0	False	
QGNH01001522.1_18	QGNH01001522.1	QGNH01001522.1	18	12887	13336	1	E											0	False	
QGNH01001522.1_19	QGNH01001522.1	QGNH01001522.1	19	13355	13885	1	E	YP_004421842.1	YP_004421842.1 major head protein [Roseobacter phage RDJL Phi 1]	False	0.483	123.0	6.3790000000000005e-31		VOG10432	sp|Q6QIB5|CAPSD_BPBMU Major capsid protein; XhXs	Xs;Xh	0	False	V
QGNH01001522.1_20	QGNH01001522.1	QGNH01001522.1	20	13855	14385	1	E	YP_010082538.1	YP_010082538.1 major head protein [Arthrobacter phage LiSara]	False	0.353	99.0	6.900000000000001e-23		VOG10432	sp|Q6QIB5|CAPSD_BPBMU Major capsid protein; XhXs	Xs;Xh	0	False	VF
QGNH01001522.1_21	QGNH01001522.1	QGNH01001522.1	21	14387	14593	1	E											0	False	F
QGNH01001522.1_22	QGNH01001522.1	QGNH01001522.1	22	14624	15094	1	E								VOG01675	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01001522.1_23	QGNH01001522.1	QGNH01001522.1	23	15088	15567	1	E	YP_009797061.1	YP_009797061.1 tail completion or Neck1 protein [Faecalibacterium phage FP_Brigit]	False	0.329	78.0	8.238e-16		VOG02678	REFSEQ tail completion or Neck1 protein; Xu	Xu	0	False	F
QGNH01001522.1_24	QGNH01001522.1	QGNH01001522.1	24	15564	15908	1	E											0	False	F
QGNH01001522.1_25	QGNH01001522.1	QGNH01001522.1	25	15898	16509	1	E											0	False	F
QGNH01001522.1_26	QGNH01001522.1	QGNH01001522.1	26	16506	17858	1	D	YP_010767331.1	YP_010767331.1 hypothetical protein QGX17_gp156 [Pseudomonas phage phiPsa381]	False	0.237	131.0	1.428e-30	Protein of unknown function (DUF3383) [PF11863.11]	VOG03778	REFSEQ tail sheath; Xu	Xu	0	False	F
QGNH01001522.1_27	QGNH01001522.1	QGNH01001522.1	27	17904	18332	1	D	YP_010762009.1	YP_010762009.1 hypothetical protein QE322_gp059 [Pseudomonas phage PaGz-1]	False	0.357	76.0	2.182e-15	Bacteriophage KPP10, Structural protein ORF10 [PF11681.11]	VOG03723	sp|D6RRG7|ORF10_BPKPP Structural protein ORF10; Xs	Xs	0	False	VF
QGNH01001522.1_28	QGNH01001522.1	QGNH01001522.1	28	18332	18763	1	E								VOG00091	REFSEQ tail assembly chaperone; Xu	Xu	0	False	F
QGNH01001522.1_29	QGNH01001522.1	QGNH01001522.1	29	18760	18930	1	E											0	False	F
QGNH01001522.1_30	QGNH01001522.1	QGNH01001522.1	30	18933	19280	1	E											0	False	F
