	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000680.1_1	QGNH01000680.1	QGNH01000680.1	1	2	730	1	E											0	False	F
QGNH01000680.1_2	QGNH01000680.1	QGNH01000680.1	2	730	2685	1	E											0	False	F
QGNH01000680.1_3	QGNH01000680.1	QGNH01000680.1	3	2672	3667	1	E											0	False	F
QGNH01000680.1_4	QGNH01000680.1	QGNH01000680.1	4	3752	3991	-1	E											0	False	F
QGNH01000680.1_5	QGNH01000680.1	QGNH01000680.1	5	3988	4317	-1	D	YP_010078132.1	YP_010078132.1 DUF559 domain-containing protein [Ralstonia phage Raharianne]	False	0.508	98.0	9.033e-24	Protein of unknown function (DUF559) [PF04480.15]				0	False	F
QGNH01000680.1_6	QGNH01000680.1	QGNH01000680.1	6	4314	4853	-1	E											0	False	F
QGNH01000680.1_7	QGNH01000680.1	QGNH01000680.1	7	4850	5038	-1	E											0	False	F
QGNH01000680.1_8	QGNH01000680.1	QGNH01000680.1	8	5010	5255	-1	E											0	False	
QGNH01000680.1_9	QGNH01000680.1	QGNH01000680.1	9	5215	5835	-1	E											0	False	
QGNH01000680.1_10	QGNH01000680.1	QGNH01000680.1	10	5832	6023	-1	E											0	False	
QGNH01000680.1_11	QGNH01000680.1	QGNH01000680.1	11	6017	6520	-1	E											0	False	
QGNH01000680.1_12	QGNH01000680.1	QGNH01000680.1	12	6517	8844	-1	D	YP_004421762.1	YP_004421762.1 DNA methylase [Synechococcus phage S-CBS3]	True	0.59	848.0	1.184e-270	DNA methylase [PF01555.21]; SNF2-related domain [PF00176.26]	VOG00107	sp|P20703|UVSW_BPT4 ATP-dependent DNA helicase uvsW; Xh	Xh	0	False	
QGNH01000680.1_13	QGNH01000680.1	QGNH01000680.1	13	8841	10469	-1	D	YP_164394.1	YP_164394.1 DNA helicase [Bacillus phage BCASJ1c]	False	0.296	197.0	1.65e-51	Type III restriction enzyme, res subunit [PF04851.18]; Helicase conserved C-terminal domain [PF00271.34]	VOG00107	sp|P20703|UVSW_BPT4 ATP-dependent DNA helicase uvsW; Xh	Xh	0	False	
QGNH01000680.1_14	QGNH01000680.1	QGNH01000680.1	14	10459	10713	-1	E											0	False	
QGNH01000680.1_15	QGNH01000680.1	QGNH01000680.1	15	10700	10921	-1	D							Protein of unknown function (DUF551) [PF04448.15]	VOG00128	sp|P14108|Y7K8_BPP22 Uncharacterized 7.8 kDa protein in ral-gp17 intergenic region; Xu	Xu	0	False	
QGNH01000680.1_16	QGNH01000680.1	QGNH01000680.1	16	10908	11177	-1	E											0	False	
QGNH01000680.1_17	QGNH01000680.1	QGNH01000680.1	17	11167	11358	-1	E											0	False	
QGNH01000680.1_18	QGNH01000680.1	QGNH01000680.1	18	11355	11639	-1	E											0	False	
QGNH01000680.1_19	QGNH01000680.1	QGNH01000680.1	19	11636	11875	-1	D	YP_010078193.1	YP_010078193.1 hypothetical protein KMC43_gp69 [Ralstonia phage Raharianne]	False	0.466	64.0	2.232e-12	KTSC domain [PF13619.9]	VOG00254	sp|B2J384|SYK_NOSP7 Lysine--tRNA ligase; Xh	Xh	0	False	
QGNH01000680.1_20	QGNH01000680.1	QGNH01000680.1	20	11856	12038	-1	E											0	False	
QGNH01000680.1_21	QGNH01000680.1	QGNH01000680.1	21	12038	13072	-1	E	YP_009187412.1	YP_009187412.1 hypothetical protein AU162_gp015 [Pseudomonas phage YMC11/02/R656]	False	0.298	156.0	7.429999999999999e-40		VOG09490	REFSEQ hypothetical protein; Xu	Xu	0	False	
