	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000447.1_1	QGNH01000447.1	QGNH01000447.1	1	3	911	-1	D														Domain of unknown function (DUF6745) [PF20530.1]; Glycine-zipper domain [PF13436.9]				0	False	F
QGNH01000447.1_2	QGNH01000447.1	QGNH01000447.1	2	1116	1532	-1	E																		0	False	F
QGNH01000447.1_3	QGNH01000447.1	QGNH01000447.1	3	1553	2701	-1	D														Putative zinc-binding metallo-peptidase [PF15887.8]				0	False	F
QGNH01000447.1_4	QGNH01000447.1	QGNH01000447.1	4	2698	3264	-1	D	YP_009223772.1	YP_009223772.1 peptidase HslV family [Geobacillus virus E3]	False	0.299	85.0	1.054e-17	MER1094134	T01B	MER1094134 - subfamily T1B unassigned peptidases (Methanobacterium formicicum) [T01.UPB]#T01B#{peptidase unit: 10-179}~source A0A090I4M7~	False	79.0	2.039e-15	0.308		VOG04630	REFSEQ peptidase HslV family; Xu	Xu	0	False	PF
QGNH01000447.1_5	QGNH01000447.1	QGNH01000447.1	5	3261	3845	-1	E																		0	False	F
QGNH01000447.1_6	QGNH01000447.1	QGNH01000447.1	6	3873	5558	-1	E	YP_010078149.1	YP_010078149.1 portal protein [Ralstonia phage Raharianne]	False	0.213	115.0	5.141e-25									VOG00109	sp|Q05220|PORTL_BPML5 Portal protein; XpXrXs	Xp;Xr;Xs	0	False	VF
QGNH01000447.1_7	QGNH01000447.1	QGNH01000447.1	7	5600	7087	-1	E	YP_005098202.1	YP_005098202.1 terminase large subunit [Pseudomonas phage Bf7]	False	0.284	61.0	2.037e-08									VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xr;Xh	0	False	V
QGNH01000447.1_8	QGNH01000447.1	QGNH01000447.1	8	7091	7876	-1	E																		0	False	
QGNH01000447.1_9	QGNH01000447.1	QGNH01000447.1	9	7888	8640	-1	D	YP_009797043.1	YP_009797043.1 ParB N-terminal domain-containing protein [Faecalibacterium phage FP_Brigit]	False	0.386	150.0	4.025e-39								ParB/Sulfiredoxin domain [PF02195.21]				0	False	
QGNH01000447.1_10	QGNH01000447.1	QGNH01000447.1	10	8642	10081	-1	E	YP_009797042.1	YP_009797042.1 hypothetical protein HOS62_gp21 [Faecalibacterium phage FP_Brigit]	False	0.271	177.0	1.518e-45									VOG03961	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01000447.1_11	QGNH01000447.1	QGNH01000447.1	11	10078	10593	-1	E																		0	False	F
QGNH01000447.1_12	QGNH01000447.1	QGNH01000447.1	12	11017	11460	1	E																		0	False	F
QGNH01000447.1_13	QGNH01000447.1	QGNH01000447.1	13	11315	11962	-1	E																		1	False	F
QGNH01000447.1_14	QGNH01000447.1	QGNH01000447.1	14	11959	12726	-1	E																		0	False	F
QGNH01000447.1_15	QGNH01000447.1	QGNH01000447.1	15	12740	13006	-1	E	YP_004421811.1	YP_004421811.1 hypothetical protein RDJLphi1_gp43 [Roseobacter phage RDJL Phi 1]	False	0.508	78.0	5.019e-17									VOG00218	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01000447.1_16	QGNH01000447.1	QGNH01000447.1	16	13086	13409	-1	E	YP_851189.1	YP_851189.1 hypothetical protein MaLMM01_gp175 [Microcystis virus Ma-LMM01]	False	0.358	71.0	3.415e-14									VOG27177	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01000447.1_17	QGNH01000447.1	QGNH01000447.1	17	13422	13727	-1	D														Domain of unknown function (DUF6745) [PF20530.1]				0	False	F
