	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000415.1_1	QGNH01000415.1	QGNH01000415.1	1	3	1349	-1	E			YP_007003398.1	YP_007003398.1 major head protein [Bacillus phage SP-10]	False	0.18	74.0	1.205e-12									VOG02591	sp|Q6Y7S3|CAPSD_BPPGK Major capsid protein; Xs	Xs	0	False	VF
QGNH01000415.1_2	QGNH01000415.1	QGNH01000415.1	2	1383	2321	-1	E																				0	False	F
QGNH01000415.1_3	QGNH01000415.1	QGNH01000415.1	3	2352	2852	-1	E																				0	False	F
QGNH01000415.1_4	QGNH01000415.1	QGNH01000415.1	4	3112	3771	1	E																	VOG04571	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01000415.1_5	QGNH01000415.1	QGNH01000415.1	5	3783	5405	1	E																				0	False	F
QGNH01000415.1_6	QGNH01000415.1	QGNH01000415.1	6	5488	5940	-1	C	K08640	zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]							MER0255633	M15A	MER0255633 - subfamily M15A non-peptidase homologues (Collimonas fungivorans) [M15.UNA]#M15A#{peptidase unit: 3-130}~source YP_004754005~	False	0.326	64.0	6.268e-11	Peptidase M15 [PF08291.14]; Bacterial protein of unknown function (DUF882) [PF05951.16]				0	False	P
QGNH01000415.1_7	QGNH01000415.1	QGNH01000415.1	7	6312	6503	1	E																				0	False	
QGNH01000415.1_8	QGNH01000415.1	QGNH01000415.1	8	6478	7620	1	D			YP_007673513.1	YP_007673513.1 ATP-dependent DNA ligase [Vibrio phage 11895-B1]	False	0.325	194.0	1.611e-52								ATP dependent DNA ligase domain [PF01068.24]; DNA ligase OB-like domain [PF14743.9]	VOG00242	sp|P00970|DNLI_BPT4 DNA ligase; XhXr	Xr;Xh	0	False	V
QGNH01000415.1_9	QGNH01000415.1	QGNH01000415.1	9	7617	7793	1	E																				0	False	
QGNH01000415.1_10	QGNH01000415.1	QGNH01000415.1	10	7795	7923	1	E																				0	False	
QGNH01000415.1_11	QGNH01000415.1	QGNH01000415.1	11	7899	8105	1	E																				0	False	
QGNH01000415.1_12	QGNH01000415.1	QGNH01000415.1	12	8098	10044	-1	D			NP_046713.1	NP_046713.1 ribonucleotide reductase large subunit [Bacillus phage SPBc2]	False	0.236	119.0	6.619e-26	MER0193941	N10	MER0193941 - family N10 unassigned peptide lyases (Nodularia spumigena) [N10.UPW]#N10#{peptidase unit: 408-773}~source EAW43318~	False	0.225	108.0	1.8000000000000001e-22	LAGLIDADG-like domain [PF14528.9]; Intein splicing domain [PF14890.9]	VOG01994	sp|O31875|NRDEB_BACSU Ribonucleoside-diphosphate reductase NrdEB subunit alpha; Xh	Xh	0	False	
QGNH01000415.1_13	QGNH01000415.1	QGNH01000415.1	13	10078	10668	-1	E																				0	False	
QGNH01000415.1_14	QGNH01000415.1	QGNH01000415.1	14	10671	12566	-1	D			YP_009850005.1	YP_009850005.1 portal protein [Bacillus phage vB_BmeM-Goe8]	False	0.225	116.0	4.3680000000000005e-25								Phage portal protein [PF04860.15]	VOG00344	sp|Q6QGD5|PORTL_BPT5 Portal protein; XhXpXrXs	Xs;Xr;Xp;Xh	0	False	V
QGNH01000415.1_15	QGNH01000415.1	QGNH01000415.1	15	12570	13367	-1	E																				0	False	
QGNH01000415.1_16	QGNH01000415.1	QGNH01000415.1	16	13410	15278	-1	E			YP_003347496.1	YP_003347496.1 terminase large subunit [Enterococcus phage phiFL1A]	False	0.277	66.0	7.954e-10												0	False	F
QGNH01000415.1_17	QGNH01000415.1	QGNH01000415.1	17	15291	17072	-1	C	K04077	chaperonin GroEL [EC:5.6.1.7]	YP_010111108.1	YP_010111108.1 chaperonin groEL [uncultured phage cr108_1]	False	0.258	166.0	3.527e-41								TCP-1/cpn60 chaperonin family [PF00118.27]	VOG10769	sp|A8Z640|CH60_SULMW Chaperonin GroEL; Xh	Xh	0	False	F
QGNH01000415.1_18	QGNH01000415.1	QGNH01000415.1	18	17151	18215	1	E			YP_009006137.1	YP_009006137.1 hypothetical protein CF80_gp063 [Vibrio phage VH7D]	False	0.359	159.0	8.402999999999998e-41									VOG14510	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01000415.1_19	QGNH01000415.1	QGNH01000415.1	19	18405	18494	-1	E																				0	False	F
