	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_054645_NC_054645_1	NC_054645	NC_054645	1	2	676	-1	D			Zinc-binding domain of primase-helicase [PF08273.15]; CHC2 zinc finger [PF01807.23]					0
NC_054645_NC_054645_2	NC_054645	NC_054645	2	788	1363	1	D			HNH endonuclease [PF13392.9]; AP2 domain [PF00847.23]					0
NC_054645_NC_054645_3	NC_054645	NC_054645	3	1367	3289	1	E								0
NC_054645_NC_054645_4	NC_054645	NC_054645	4	3276	3701	1	E								0
NC_054645_NC_054645_5	NC_054645	NC_054645	5	3741	3917	1	E								0
NC_054645_NC_054645_6	NC_054645	NC_054645	6	3918	4874	1	D			PDDEXK-like domain of unknown function (DUF3799) [PF12684.10]					0
NC_054645_NC_054645_7	NC_054645	NC_054645	7	4892	5554	1	D			ERF superfamily [PF04404.15]					0
NC_054645_NC_054645_8	NC_054645	NC_054645	8	5558	6040	1	C	K03111	single-strand DNA-binding protein	Single-strand binding protein family [PF00436.28]					0
NC_054645_NC_054645_9	NC_054645	NC_054645	9	6336	8363	-1	D			Salmonella phage P22 tail-spike [PF09251.13]; Tail spike TSP1/Gp66 receptor binding N-terminal domain [PF18668.4]	GH90	GH90 endorhamnosidase (EC 3.2.1.-)	3.2.1.-	GH90.hmm	0
NC_054645_NC_054645_10	NC_054645	NC_054645	10	8403	10889	-1	E								0
NC_054645_NC_054645_11	NC_054645	NC_054645	11	11261	11731	-1	D			Domain of unknown function (DUF1833) [PF08875.14]					0
NC_054645_NC_054645_12	NC_054645	NC_054645	12	11731	12204	-1	E								0
NC_054645_NC_054645_13	NC_054645	NC_054645	13	12341	13216	1	D			Protein of unknown function (DUF723) [PF05265.16]					0
NC_054645_NC_054645_14	NC_054645	NC_054645	14	13229	16522	-1	D			Tape measure protein [PF20155.2]; Tail length tape measure protein [PF06120.14]					0
NC_054645_NC_054645_15	NC_054645	NC_054645	15	16522	17229	-1	D			Family of unknown function (DUF6246) [PF19759.2]					0
NC_054645_NC_054645_16	NC_054645	NC_054645	16	17328	17603	1	D			Tail spike TSP1/Gp66 receptor binding N-terminal domain [PF18668.4]					0
NC_054645_NC_054645_17	NC_054645	NC_054645	17	17720	18013	1	E								0
NC_054645_NC_054645_18	NC_054645	NC_054645	18	18023	18166	1	E								0
NC_054645_NC_054645_19	NC_054645	NC_054645	19	18163	18357	1	D			Protein of unknown function (DUF551) [PF04448.15]					0
NC_054645_NC_054645_20	NC_054645	NC_054645	20	18388	19104	-1	E								0
NC_054645_NC_054645_21	NC_054645	NC_054645	21	19590	19997	-1	E								0
NC_054645_NC_054645_22	NC_054645	NC_054645	22	20135	20626	1	D			HNH endonuclease [PF13392.9]; AP2 domain [PF00847.23]					0
NC_054645_NC_054645_23	NC_054645	NC_054645	23	20623	21021	-1	E								0
NC_054645_NC_054645_24	NC_054645	NC_054645	24	21021	21362	-1	E								0
NC_054645_NC_054645_25	NC_054645	NC_054645	25	21359	21751	-1	E								0
NC_054645_NC_054645_26	NC_054645	NC_054645	26	21732	22016	-1	E								0
NC_054645_NC_054645_27	NC_054645	NC_054645	27	22049	22489	-1	E								0
NC_054645_NC_054645_28	NC_054645	NC_054645	28	22725	22985	1	E								0
NC_054645_NC_054645_29	NC_054645	NC_054645	29	22988	23179	1	E								0
NC_054645_NC_054645_30	NC_054645	NC_054645	30	23169	23990	1	C	K03497	ParB family transcriptional regulator, chromosome partitioning protein	KorB domain [PF08535.13]; ParB/Sulfiredoxin domain [PF02195.21]					0
NC_054645_NC_054645_31	NC_054645	NC_054645	31	23990	24208	1	E								0
NC_054645_NC_054645_32	NC_054645	NC_054645	32	24205	24378	1	E								0
NC_054645_NC_054645_33	NC_054645	NC_054645	33	24378	24914	1	C	K02338	DNA polymerase III subunit beta [EC:2.7.7.7]	DNA polymerase III beta subunit, central domain [PF02767.19]					0
NC_054645_NC_054645_34	NC_054645	NC_054645	34	24946	25143	-1	E								0
NC_054645_NC_054645_35	NC_054645	NC_054645	35	25136	25483	-1	D			Phage protein (N4 Gp49/phage Sf6 gene 66) family [PF13876.9]					0
NC_054645_NC_054645_36	NC_054645	NC_054645	36	25526	26596	-1	D			Family of unknown function (DUF6260) [PF19774.2]					0
NC_054645_NC_054645_37	NC_054645	NC_054645	37	26599	27066	-1	E								0
NC_054645_NC_054645_38	NC_054645	NC_054645	38	27066	28352	-1	D			Uncharacterized protein conserved in bacteria (DUF2213) [PF09979.12]					0
NC_054645_NC_054645_39	NC_054645	NC_054645	39	28546	28692	-1	E								0
NC_054645_NC_054645_40	NC_054645	NC_054645	40	28799	29125	-1	E								0
NC_054645_NC_054645_41	NC_054645	NC_054645	41	29122	29553	-1	E								0
NC_054645_NC_054645_42	NC_054645	NC_054645	42	29537	29713	-1	E								0
NC_054645_NC_054645_43	NC_054645	NC_054645	43	29679	30011	-1	E								0
NC_054645_NC_054645_44	NC_054645	NC_054645	44	30156	30404	-1	D			Restriction alleviation protein Lar [PF14354.9]					0
NC_054645_NC_054645_45	NC_054645	NC_054645	45	30401	30595	-1	E								0
NC_054645_NC_054645_46	NC_054645	NC_054645	46	30606	30809	-1	E								0
NC_054645_NC_054645_47	NC_054645	NC_054645	47	30910	31104	1	E								0
NC_054645_NC_054645_48	NC_054645	NC_054645	48	31101	31592	1	D			Domain of unknown function (DUF6378) [PF19905.2]					0
NC_054645_NC_054645_49	NC_054645	NC_054645	49	31589	31816	1	E								0
NC_054645_NC_054645_50	NC_054645	NC_054645	50	31816	32124	1	E								0
NC_054645_NC_054645_51	NC_054645	NC_054645	51	32264	32755	-1	D			Protein of unknown function (DUF2514) [PF10721.12]					0
NC_054645_NC_054645_52	NC_054645	NC_054645	52	32736	32975	-1	E								0
NC_054645_NC_054645_53	NC_054645	NC_054645	53	32972	33436	-1	D				GH104	GH104 peptidoglycan lytic transglycosylase (EC 3.2.1.-)	4.2.2.n1	GH104.hmm	0
NC_054645_NC_054645_54	NC_054645	NC_054645	54	33426	33704	-1	D			Phage lysozyme [PF00959.22]					0
NC_054645_NC_054645_55	NC_054645	NC_054645	55	33805	34284	1	D			HNH endonuclease [PF13392.9]; AP2 domain [PF00847.23]					0
NC_054645_NC_054645_56	NC_054645	NC_054645	56	34349	34732	1	E								0
NC_054645_NC_054645_57	NC_054645	NC_054645	57	34742	34885	1	E								0
NC_054645_NC_054645_58	NC_054645	NC_054645	58	34894	34992	1	E								0
NC_054645_NC_054645_59	NC_054645	NC_054645	59	35095	36081	-1	D			T5orf172 domain [PF10544.12]; Protein of unknown function (DUF723) [PF05265.16]					0
NC_054645_NC_054645_60	NC_054645	NC_054645	60	36093	37049	-1	D			Phage Mu protein F like protein [PF04233.17]					0
NC_054645_NC_054645_61	NC_054645	NC_054645	61	37030	38433	-1	C	K09961	uncharacterized protein	Protein of unknown function (DUF1073) [PF06381.14]					0
NC_054645_NC_054645_62	NC_054645	NC_054645	62	38480	38719	-1	E								0
NC_054645_NC_054645_63	NC_054645	NC_054645	63	38728	38934	-1	E								0
NC_054645_NC_054645_64	NC_054645	NC_054645	64	38934	39104	-1	E								0
NC_054645_NC_054645_65	NC_054645	NC_054645	65	39108	39314	-1	E								0
NC_054645_NC_054645_66	NC_054645	NC_054645	66	39469	39621	1	E								0
NC_054645_NC_054645_67	NC_054645	NC_054645	67	39650	41074	-1	C	K06909	phage terminase large subunit	Phage terminase large subunit [PF04466.16]; Terminase RNAseH like domain [PF17288.5]					0
NC_054645_NC_054645_68	NC_054645	NC_054645	68	41067	41579	-1	D			HNH endonuclease [PF13392.9]					0
NC_054645_NC_054645_69	NC_054645	NC_054645	69	41683	42099	-1	E								0
NC_054645_NC_054645_70	NC_054645	NC_054645	70	42246	42467	-1	E								0
NC_054645_NC_054645_71	NC_054645	NC_054645	71	42406	42585	-1	E								0
NC_054645_NC_054645_72	NC_054645	NC_054645	72	42749	43096	-1	E								0
NC_054645_NC_054645_73	NC_054645	NC_054645	73	43093	43554	-1	E								0
NC_054645_NC_054645_74	NC_054645	NC_054645	74	43551	43799	-1	E								0
NC_054645_NC_054645_75	NC_054645	NC_054645	75	43821	44003	-1	E								0
NC_054645_NC_054645_76	NC_054645	NC_054645	76	44184	44330	-1	E								0
NC_054645_NC_054645_77	NC_054645	NC_054645	77	44841	45062	1	E								0
NC_054645_NC_054645_78	NC_054645	NC_054645	78	45062	46549	1	E								0
NC_054645_NC_054645_79	NC_054645	NC_054645	79	46546	46905	1	E								0
NC_054645_NC_054645_80	NC_054645	NC_054645	80	46905	47315	1	E								0
NC_054645_NC_054645_81	NC_054645	NC_054645	81	47347	47655	-1	E								0
