	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_025462_1	NC_025462	NC_025462	1	1	477	1	C	K01493	dCMP deaminase [EC:3.5.4.12]	YP_009103541.1	YP_009103541.1 putative deoxycitidylate deaminase [Acinetobacter phage vB_AbaM_Acibel004]	False	0.999	336.0	3.224e-105								Cytidine and deoxycytidylate deaminase zinc-binding region [PF00383.26]					VOG01436	sp|O22000|DCTD_BPMD2 Deoxycytidylate deaminase; Xr	Xr	0	False	VF
NC_025462_2	NC_025462	NC_025462	2	464	2548	1	D			YP_009103542.1	YP_009103542.1 DNA primase/helicase [Acinetobacter phage vB_AbaM_Acibel004]	True	0.97	1419.0	0.0								AAA domain [PF13481.9]					VOG04360	sp|P04530|HELIC_BPT4 DnaB-like replicative helicase; XhXr	Xr;Xh	0	False	VF
NC_025462_3	NC_025462	NC_025462	3	2614	3012	1	E			YP_009103543.1	YP_009103543.1 hypothetical protein vB_AbaM_Acibel004_3 [Acinetobacter phage vB_AbaM_Acibel004]	False	0.971	272.0	1.092e-83																0	False	F
NC_025462_4	NC_025462	NC_025462	4	3013	5070	1	D			YP_009103544.1	YP_009103544.1 putative DNA polymerase [Acinetobacter phage vB_AbaM_Acibel004]	True	0.984	1424.0	0.0								DNA polymerase family A [PF00476.23]					VOG00075	sp|O64235|DPOL_BPMD2 DNA polymerase; XhXr	Xr;Xh	0	False	VF
NC_025462_5	NC_025462	NC_025462	5	5110	5712	1	E			YP_009103545.1	YP_009103545.1 hypothetical protein vB_AbaM_Acibel004_5 [Acinetobacter phage vB_AbaM_Acibel004]	True	0.927	390.0	2.938e-123																0	False	
NC_025462_6	NC_025462	NC_025462	6	5743	5961	1	E			YP_009103546.1	YP_009103546.1 hypothetical protein vB_AbaM_Acibel004_6 [Acinetobacter phage vB_AbaM_Acibel004]	False	0.96	148.0	1.0129999999999999e-41													VOG17581	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_025462_7	NC_025462	NC_025462	7	5980	7125	1	E			YP_009103547.1	YP_009103547.1 structural protein [Acinetobacter phage vB_AbaM_Acibel004]	True	0.933	747.0	2.511e-243													VOG07348	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_025462_8	NC_025462	NC_025462	8	7131	7382	1	E			YP_009103548.1	YP_009103548.1 hypothetical protein vB_AbaM_Acibel004_8 [Acinetobacter phage vB_AbaM_Acibel004]	False	0.944	167.0	4.429e-48													VOG17582	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_025462_9	NC_025462	NC_025462	9	7382	7753	1	E			YP_009103549.1	YP_009103549.1 hypothetical protein vB_AbaM_Acibel004_9 [Acinetobacter phage vB_AbaM_Acibel004]	False	0.921	239.0	1.7160000000000002e-72													VOG04178	sp|P13320|DSBA_BPT4 Double-stranded DNA-binding protein; Xr	Xr	0	False	V
NC_025462_10	NC_025462	NC_025462	10	7753	7956	1	E			YP_009103550.1	YP_009103550.1 hypothetical protein vB_AbaM_Acibel004_10 [Acinetobacter phage vB_AbaM_Acibel004]	False	1.0	145.0	5.261999999999998e-41													VOG17583	REFSEQ hypothetical protein; Xu	Xu	0	False	
