	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001550.1_1	QGNH01001550.1	QGNH01001550.1	1	158	925	-1	D							von Willebrand factor type A domain [PF13768.9]; von Willebrand factor type A domain [PF00092.31]				0	False	F
QGNH01001550.1_2	QGNH01001550.1	QGNH01001550.1	2	999	1481	-1	E											0	False	F
QGNH01001550.1_3	QGNH01001550.1	QGNH01001550.1	3	1478	1702	-1	E											0	False	F
QGNH01001550.1_4	QGNH01001550.1	QGNH01001550.1	4	1939	2490	-1	E											0	False	F
QGNH01001550.1_5	QGNH01001550.1	QGNH01001550.1	5	2791	3351	-1	E											0	False	F
QGNH01001550.1_6	QGNH01001550.1	QGNH01001550.1	6	3802	4131	-1	E											0	False	F
QGNH01001550.1_7	QGNH01001550.1	QGNH01001550.1	7	4464	4784	-1	E											0	False	F
QGNH01001550.1_8	QGNH01001550.1	QGNH01001550.1	8	4840	5070	1	E											0	False	F
QGNH01001550.1_9	QGNH01001550.1	QGNH01001550.1	9	5107	5430	1	E											0	False	
QGNH01001550.1_10	QGNH01001550.1	QGNH01001550.1	10	5405	5797	-1	E											0	False	
QGNH01001550.1_11	QGNH01001550.1	QGNH01001550.1	11	6410	7051	1	E											0	False	
QGNH01001550.1_12	QGNH01001550.1	QGNH01001550.1	12	7053	7283	1	E											0	False	
QGNH01001550.1_13	QGNH01001550.1	QGNH01001550.1	13	7314	9056	1	E	YP_004251191.1	YP_004251191.1 hypothetical protein ViPhICP2p20 [Vibrio phage ICP2]	False	65.0	1.239e-09	0.167		VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xr;Xh	0	False	V
QGNH01001550.1_14	QGNH01001550.1	QGNH01001550.1	14	9053	9277	1	E											0	False	
QGNH01001550.1_15	QGNH01001550.1	QGNH01001550.1	15	9281	9622	1	E											0	False	
QGNH01001550.1_16	QGNH01001550.1	QGNH01001550.1	16	9633	10043	1	E											0	False	
QGNH01001550.1_17	QGNH01001550.1	QGNH01001550.1	17	10060	11982	1	E								VOG00516	sp|P03728|PORTL_BPT7 Portal protein; XpXrXs	Xr;Xs;Xp	0	False	V
QGNH01001550.1_18	QGNH01001550.1	QGNH01001550.1	18	11979	12218	1	E											0	False	
QGNH01001550.1_19	QGNH01001550.1	QGNH01001550.1	19	12237	12917	1	E											0	False	
QGNH01001550.1_20	QGNH01001550.1	QGNH01001550.1	20	12910	13572	1	E											0	False	F
QGNH01001550.1_21	QGNH01001550.1	QGNH01001550.1	21	13692	14219	1	E											0	False	F
QGNH01001550.1_22	QGNH01001550.1	QGNH01001550.1	22	14231	15202	1	E											0	False	F
QGNH01001550.1_23	QGNH01001550.1	QGNH01001550.1	23	15317	15814	1	E											0	False	F
QGNH01001550.1_24	QGNH01001550.1	QGNH01001550.1	24	15846	16106	1	E											0	False	F
QGNH01001550.1_25	QGNH01001550.1	QGNH01001550.1	25	16329	16604	1	E											0	False	F
QGNH01001550.1_26	QGNH01001550.1	QGNH01001550.1	26	16614	17000	1	E											0	False	F
QGNH01001550.1_27	QGNH01001550.1	QGNH01001550.1	27	17027	17305	1	E											0	False	F
QGNH01001550.1_28	QGNH01001550.1	QGNH01001550.1	28	17339	17980	1	E											0	False	F
