	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001733.1_1	QGNH01001733.1	QGNH01001733.1	1	2	1138	-1	E					0	False	F
QGNH01001733.1_2	QGNH01001733.1	QGNH01001733.1	2	1145	1696	-1	E					0	False	F
QGNH01001733.1_3	QGNH01001733.1	QGNH01001733.1	3	1700	1963	-1	E					0	False	F
QGNH01001733.1_4	QGNH01001733.1	QGNH01001733.1	4	1967	2086	-1	E					0	False	F
QGNH01001733.1_5	QGNH01001733.1	QGNH01001733.1	5	2404	2706	-1	E					0	False	F
QGNH01001733.1_6	QGNH01001733.1	QGNH01001733.1	6	2697	3683	-1	E					0	False	F
QGNH01001733.1_7	QGNH01001733.1	QGNH01001733.1	7	3755	4120	-1	E					0	False	F
QGNH01001733.1_8	QGNH01001733.1	QGNH01001733.1	8	4157	4861	-1	E					0	False	F
QGNH01001733.1_9	QGNH01001733.1	QGNH01001733.1	9	5014	5976	-1	E		VOG11300	REFSEQ major head protein; Xu	Xu	0	False	
QGNH01001733.1_10	QGNH01001733.1	QGNH01001733.1	10	6125	7051	-1	E					0	False	
QGNH01001733.1_11	QGNH01001733.1	QGNH01001733.1	11	7119	7493	-1	E					0	False	F
QGNH01001733.1_12	QGNH01001733.1	QGNH01001733.1	12	7502	7720	-1	E					0	False	F
QGNH01001733.1_13	QGNH01001733.1	QGNH01001733.1	13	8313	8507	-1	E					0	False	F
QGNH01001733.1_14	QGNH01001733.1	QGNH01001733.1	14	8507	10378	-1	E					0	False	F
QGNH01001733.1_15	QGNH01001733.1	QGNH01001733.1	15	10379	10873	-1	E					0	False	F
QGNH01001733.1_16	QGNH01001733.1	QGNH01001733.1	16	10864	11655	-1	E					0	False	F
QGNH01001733.1_17	QGNH01001733.1	QGNH01001733.1	17	11656	11877	-1	E					0	False	F
QGNH01001733.1_18	QGNH01001733.1	QGNH01001733.1	18	11877	12089	-1	E					0	False	F
QGNH01001733.1_19	QGNH01001733.1	QGNH01001733.1	19	12089	12394	-1	E					0	False	F
