	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000787.1_1	QGNH01000787.1	QGNH01000787.1	1	3	275	-1	E																		0	False	F
QGNH01000787.1_2	QGNH01000787.1	QGNH01000787.1	2	279	869	1	D	YP_010102336.1	YP_010102336.1 HNH endonuclease [Gordonia phage Arri]	False	0.4	119.0	3.099e-29								HNH endonuclease [PF13392.9]; NUMOD4 motif [PF07463.14]	VOG00032	sp|P03796|Y77_BPT7 Protein 7.7; Xu	Xu	0	False	F
QGNH01000787.1_3	QGNH01000787.1	QGNH01000787.1	3	858	1835	-1	E																		0	False	F
QGNH01000787.1_4	QGNH01000787.1	QGNH01000787.1	4	1832	2479	-1	E	YP_005098359.1	YP_005098359.1 endonuclease [Synechococcus phage S-CBS4]	False	0.561	105.0	3.254e-24												0	False	F
QGNH01000787.1_5	QGNH01000787.1	QGNH01000787.1	5	2716	3225	-1	E																		0	False	F
QGNH01000787.1_6	QGNH01000787.1	QGNH01000787.1	6	3212	4006	-1	E	NP_048758.1	NP_048758.1 hypothetical protein PBCV1_A401R [Paramecium bursaria Chlorella virus 1]	False	0.317	120.0	8.258e-29									VOG01514	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01000787.1_7	QGNH01000787.1	QGNH01000787.1	7	4026	5897	-1	E																		0	False	F
QGNH01000787.1_8	QGNH01000787.1	QGNH01000787.1	8	5894	6112	-1	E																		0	False	
QGNH01000787.1_9	QGNH01000787.1	QGNH01000787.1	9	6162	7067	-1	D	YP_009015887.1	YP_009015887.1 homing endonuclease [Bacillus phage G]	False	0.487	75.0	2.495e-13								GIY-YIG catalytic domain [PF01541.27]	VOG00048	sp|P13299|TEV1_BPT4 Intron-associated endonuclease 1; Xh	Xh	0	False	
QGNH01000787.1_10	QGNH01000787.1	QGNH01000787.1	10	7099	7635	-1	E																		0	False	
QGNH01000787.1_11	QGNH01000787.1	QGNH01000787.1	11	7648	8043	-1	E																		0	False	
QGNH01000787.1_12	QGNH01000787.1	QGNH01000787.1	12	8328	8744	-1	E																		0	False	
QGNH01000787.1_13	QGNH01000787.1	QGNH01000787.1	13	8754	9317	-1	E																		0	False	
QGNH01000787.1_14	QGNH01000787.1	QGNH01000787.1	14	9395	10015	-1	E																		0	False	
QGNH01000787.1_15	QGNH01000787.1	QGNH01000787.1	15	10079	10393	-1	E																		0	False	
QGNH01000787.1_16	QGNH01000787.1	QGNH01000787.1	16	10409	11344	-1	E																		0	False	
QGNH01000787.1_17	QGNH01000787.1	QGNH01000787.1	17	11393	12127	-1	D	YP_006987680.1	YP_006987680.1 endonuclease VII [Cronobacter phage vB_CsaP_GAP52]	False	0.527	90.0	6.726e-19								Recombination endonuclease VII [PF02945.18]	VOG00650	sp|O64250|VG59_BPMD2 Gene 59 protein; Xu	Xu	1	False	
QGNH01000787.1_18	QGNH01000787.1	QGNH01000787.1	18	12248	13159	-1	E																		0	False	
QGNH01000787.1_19	QGNH01000787.1	QGNH01000787.1	19	13190	13774	-1	E																		0	False	
QGNH01000787.1_20	QGNH01000787.1	QGNH01000787.1	20	13964	14446	-1	E																		0	False	
QGNH01000787.1_21	QGNH01000787.1	QGNH01000787.1	21	14472	15437	-1	E																		0	False	F
QGNH01000787.1_22	QGNH01000787.1	QGNH01000787.1	22	15439	15918	-1	E																		0	False	F
QGNH01000787.1_23	QGNH01000787.1	QGNH01000787.1	23	15908	16435	-1	E																		0	False	F
QGNH01000787.1_24	QGNH01000787.1	QGNH01000787.1	24	16425	17009	-1	E																		0	False	F
QGNH01000787.1_25	QGNH01000787.1	QGNH01000787.1	25	17222	20332	-1	D	YP_001468924.1	YP_001468924.1 thymidylate synthase [Corynebacterium phage P1201]	False	0.215	91.0	4.666e-17	MER0180392	N11	MER0180392 - family N11 unassigned peptide lyases (Methanoculleus marisnigri) [N11.UPW]#N11#{peptidase unit: 415-773}~source ABN57178~	False	109.0	3.486e-22	0.236	Pretoxin HINT domain [PF07591.14]				0	False	PF
