	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000283.1_1	QGNH01000283.1	QGNH01000283.1	1	2	355	1	E																		0	False	F
QGNH01000283.1_2	QGNH01000283.1	QGNH01000283.1	2	553	1047	1	E																		0	False	F
QGNH01000283.1_3	QGNH01000283.1	QGNH01000283.1	3	1245	1772	1	E	YP_009621592.1	YP_009621592.1 HNH endonuclease [Salmonella phage BPS17L1]	False	0.342	79.0	3.989e-16												1	False	F
QGNH01000283.1_4	QGNH01000283.1	QGNH01000283.1	4	1775	4429	1	D	YP_009197677.1	YP_009197677.1 exonuclease [Mycobacterium phage NelitzaMV]	False	0.335	184.0	1.093e-45	MER0223699	N09	MER0223699 - family N9 unassigned peptide lyases (Sulfurovum sp. NBC37-1) [N09.UPW]#N09#{peptidase unit: 206-550}~source YP_001359430~	False	112.0	2.194e-23	0.308	Homing endonuclease [PF05204.17]; Hom_end-associated Hint [PF05203.19]; LAGLIDADG-like domain [PF14528.9]	VOG00428	sp|B6YUE9|CDC6_THEON ORC1-type DNA replication protein; XhXr	Xh;Xr	0	False	VPF
QGNH01000283.1_5	QGNH01000283.1	QGNH01000283.1	5	4876	5067	1	E																		0	False	F
QGNH01000283.1_6	QGNH01000283.1	QGNH01000283.1	6	5060	6841	1	D	YP_007517703.1	YP_007517703.1 head-tail adaptor [Pelagibacter phage HTVC010P]	False	0.285	229.0	1.202e-61								Bacteriophage head to tail connecting protein [PF12236.11]				0	False	
QGNH01000283.1_7	QGNH01000283.1	QGNH01000283.1	7	6834	7127	1	E																		0	False	
QGNH01000283.1_8	QGNH01000283.1	QGNH01000283.1	8	7147	7797	1	E																		0	False	
QGNH01000283.1_9	QGNH01000283.1	QGNH01000283.1	9	7814	7978	1	E																		0	False	
QGNH01000283.1_10	QGNH01000283.1	QGNH01000283.1	10	7971	8081	1	E																		0	False	
QGNH01000283.1_11	QGNH01000283.1	QGNH01000283.1	11	8107	8823	1	E															VOG10710	REFSEQ protease; Xu	Xu	0	False	
QGNH01000283.1_12	QGNH01000283.1	QGNH01000283.1	12	8851	9900	1	E	YP_009800748.1	YP_009800748.1 major head protein [Burkholderia phage vB_BmuP_KL4]	False	0.307	159.0	7.304e-41									VOG02257	REFSEQ major head protein; Xu	Xu	0	False	F
QGNH01000283.1_13	QGNH01000283.1	QGNH01000283.1	13	9914	10315	1	E																		0	False	F
QGNH01000283.1_14	QGNH01000283.1	QGNH01000283.1	14	10333	10620	1	E																		0	False	F
QGNH01000283.1_15	QGNH01000283.1	QGNH01000283.1	15	10669	11334	1	E	YP_009800745.1	YP_009800745.1 tail protein [Burkholderia phage vB_BmuP_KL4]	False	0.269	78.0	6.741e-15												0	False	F
QGNH01000283.1_16	QGNH01000283.1	QGNH01000283.1	16	11313	11621	1	E																		0	False	F
QGNH01000283.1_17	QGNH01000283.1	QGNH01000283.1	17	11635	12123	1	E																		0	False	F
QGNH01000283.1_18	QGNH01000283.1	QGNH01000283.1	18	12142	12936	1	E																		0	False	F
QGNH01000283.1_19	QGNH01000283.1	QGNH01000283.1	19	12933	13148	1	E																		0	False	F
QGNH01000283.1_20	QGNH01000283.1	QGNH01000283.1	20	13150	13560	1	D														Protein of unknown function (DUF3168) [PF11367.11]				0	False	F
QGNH01000283.1_21	QGNH01000283.1	QGNH01000283.1	21	13583	14275	1	E																		0	False	F
QGNH01000283.1_22	QGNH01000283.1	QGNH01000283.1	22	14316	14723	1	E																		0	False	F
