KO Id	Name	Level	Count
	lvl1: 20_Hydrolysis of polymers	1	56
	lvl2: Starch	2	25
	lvl3: nan	3	624
	lvl4: nan	4	850
K00012	K00012: UGDH, ugd; UDPglucose 6-dehydrogenase	Function	2
	lvl2: Xylose	2	4
	lvl1: 06_Amino acid utilization biosynthesis metabolism	1	256
	lvl2: Lysine biosynthesis	2	13
K00013	K00013: hisD; histidinol dehydrogenase	Function	2
	lvl2: Amino acid biosynthesis precursor pyruvate and oxaloacetate	2	91
	lvl3: Histidine	3	30
	lvl2: Tryptophan metabolism	2	7
K00014	K00014: aroE; shikimate dehydrogenase	Function	2
	lvl3: PEP	3	12
	lvl1: 01_Fermentation	1	94
	lvl2: Bifidobacterium shunt	2	4
K00016	K00016: LDH, ldh; L-lactate dehydrogenase	Function	7
	lvl2: Heterolactic fermentation	2	8
	lvl2: Homolactic fermentation	2	4
	lvl2: Pyruvate Fermentation	2	52
	lvl3: Pyruvate fermentation to acetate and lactate I	3	4
	lvl3: Pyruvate fermentation to ethanol III	3	2
	lvl2: Cysteine and methionine metabolism	2	21
	lvl3: Cysteine and methionine	3	19
	lvl2: Histidine degradation	2	1
K00020	K00020: HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase	Function	1
	lvl2: Mixed acid fermentation	2	8
K00024	K00024: mdh; malate dehydrogenase	Function	5
	lvl3: Pyruvate fermentation to lactate	3	3
	lvl1: 10_TCA cycle	1	24
	lvl2: Replenishment of TCA cycle intermediates (necessary because some intermediates serve as precursors for biosysnthesis)	2	3
	lvl2: Incomplete TCA fork	2	9
	lvl1: 15_Methylotrophy	1	8
	lvl2: Serine pathway for formaldehyde fixation	2	3
K00033	K00033: PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase	Function	2
	lvl1: 21_Cellular response to stress	1	108
	lvl2: Cellular response to stress	2	21
	lvl2: Glycine, serine and threonine metabolism	2	20
K00058	K00058: serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	Function	1
K00060	K00060: tdh; threonine 3-dehydrogenase	Function	1
	lvl1: 19_Saccharide and derivated synthesis	1	75
	lvl2: Polysaccharide biosynthesis and assembly of cell surface structure	2	48
	lvl3: Peptidoglycan biosynthesis	3	17
K00075	K00075: murB; UDP-N-acetylmuramate dehydrogenase	Function	2
	lvl3: Murein	3	5
	lvl1: 07_Nucleic acid metabolism	1	96
	lvl2: Purine metabolism	2	51
K00088	K00088: IMPDH, guaB; IMP dehydrogenase	Function	1
K00133	K00133: asd; aspartate-semialdehyde dehydrogenase	Function	6
	lvl2: Methionine biosynthesis	2	2
	lvl3: Oxaloacetate to lysine	3	22
K00134	K00134: GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	Function	8
	lvl1: 02_Homoacetogenesis	1	20
	lvl2: Glycolysis	2	4
	lvl1: 16_Embden Meyerhof-Parnos (EMP)	1	25
	lvl2: EMP	2	10
	lvl2: Glycolysis III (EMP)	2	9
	lvl1: 17_Gluconeogenesis	1	12
	lvl2: Gluconeogenesis in archea	2	8
	lvl2: Regulation of stress-activated protein kinase signaling cascade	2	1
	lvl2: Lysine degradation VIII	2	1
K00135	K00135: gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	Function	3
	lvl2: Methionine degradation	2	1
K00138	K00138: aldB; aldehyde dehydrogenase	Function	4
	lvl3: Pyruvate fermentation to acetate I	3	3
	lvl3: Pyruvate fermentation to acetate IV	3	3
K00145	K00145: argC; N-acetyl-gamma-glutamyl-phosphate reductase	Function	6
	lvl2: Arginine and proline metabolism	2	25
	lvl2: Methane oxidation to cO2	2	2
K00148	K00148: fdhA; glutathione-independent formaldehyde dehydrogenase	Function	1
K00164	K00164: OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component	Function	2
	lvl2: TCA cycle	2	9
	lvl2: Valine, leucine and isoleucine degradation	2	9
K00166	K00166: BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit	Function	1
K00167	K00167: BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit	Function	1
	lvl1: 05_Fatty acid oxidation	1	17
	lvl2: Fatty acid activation	2	5
K00215	K00215: dapB; 4-hydroxy-tetrahydrodipicolinate reductase	Function	2
K00239	K00239: sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit	Function	3
	lvl2: Reductive TCA cycle	2	3
K00240	K00240: sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit	Function	3
K00241	K00241: sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit	Function	3
	lvl3: Pyruvate fermentation to propionate II (acrylate pathway)	3	2
K00248	K00248: ACADS, bcd; butyryl-CoA dehydrogenase	Function	6
	lvl3: Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation	3	8
	lvl3: Superpathway of clostridium acetobutylicum acidogenic fermentation	3	6
	lvl3: Superpathway of clostridium acetobutylicum solventogenic fermentation	3	5
	lvl2: Fatty acid beta-oxidation I	2	6
	lvl2: Oxydation deamination	2	3
K00259	K00259: ald; alanine dehydrogenase	Function	2
	lvl2: Alanine, aspartate and glutamate metabolism (contain asparagin as well)	2	21
K00260	K00260: gudB, rocG; glutamate dehydrogenase	Function	5
	lvl1: 11_Nitrogen cycle	1	7
	lvl2: Ammonia assimilation	2	7
K00263	K00263: E1.4.1.9; leucine dehydrogenase	Function	2
	lvl2: Valine, leucine and isoleucine biosynthesis	2	2
K00264	K00264: GLT1; glutamate synthase (NADH)	Function	3
K00265	K00265: gltB; glutamate synthase (NADPH) large chain	Function	2
	lvl2: Phenylalanine metabolism	2	9
K00274	K00274: MAO, aofH; monoamine oxidase	Function	5
