	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_041956_1	NC_041956	NC_041956	1	62	373	1	E	YP_009603716.1	YP_009603716.1 terminase small subunit [Propionibacterium phage PHL117M01]	False	1.0	222.0	5.1519999999999997e-67		VOG00726	sp|O64201|VG05_BPMD2 Gene 5 protein; Xu	Xu	0	False	F
NC_041956_2	NC_041956	NC_041956	2	373	1884	1	E	YP_009151520.1	YP_009151520.1 terminase large subunit [Propionibacterium phage PHL030N00]	True	0.963	1021.0	0.0		VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
NC_041956_3	NC_041956	NC_041956	3	1881	3206	1	D	YP_009603718.1	YP_009603718.1 portal protein [Propionibacterium phage PHL117M01]	True	0.958	890.0	8.857e-292	Phage portal protein, SPP1 Gp6-like [PF05133.17]	VOG00109	sp|Q05220|PORTL_BPML5 Portal protein; XpXrXs	Xp;Xs;Xr	0	False	VF
NC_041956_4	NC_041956	NC_041956	4	3213	3968	1	E	YP_009603719.1	YP_009603719.1 head maturation protease [Propionibacterium phage PHL117M01]	True	0.979	520.0	2.86e-167		VOG00912	sp|O64208|VG15_BPMD2 Gene 15 protein; Xu	Xu	0	False	F
NC_041956_5	NC_041956	NC_041956	5	4079	4633	1	E	YP_009151523.1	YP_009151523.1 head scaffolding protein [Propionibacterium phage PHL030N00]	False	0.886	342.0	9.787999999999999e-107					0	False	F
NC_041956_6	NC_041956	NC_041956	6	4640	5587	1	E	YP_009151524.1	YP_009151524.1 major head protein [Propionibacterium phage PHL030N00]	True	0.943	625.0	2.23e-202		VOG00134	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17; Xs	Xs	0	False	VF
NC_041956_7	NC_041956	NC_041956	7	5631	6092	1	E	YP_009603722.1	YP_009603722.1 head-tail adaptor [Propionibacterium phage PHL117M01]	False	0.988	321.0	2.182e-100		VOG00419	sp|Q05225|VG19_BPML5 Gene 19 protein; Xu	Xu	0	False	
NC_041956_8	NC_041956	NC_041956	8	6094	6441	1	E	YP_009151526.1	YP_009151526.1 head closure Hc1 [Propionibacterium phage PHL030N00]	False	1.0	258.0	4.143e-79		VOG00125	REFSEQ head closure Hc1; Xu	Xu	0	False	
NC_041956_9	NC_041956	NC_041956	9	6466	6738	1	E	YP_009151527.1	YP_009151527.1 neck protein [Propionibacterium phage PHL030N00]	False	0.904	172.0	7.465e-50		VOG00560	sp|Q05227|VG21_BPML5 Gene 21 protein; Xu	Xu	0	False	
NC_041956_10	NC_041956	NC_041956	10	6735	7106	1	E	YP_009603725.1	YP_009603725.1 minor tail protein [Propionibacterium phage PHL117M01]	False	1.0	263.0	1.008e-80		VOG14066	REFSEQ minor tail protein; Xu	Xu	0	False	
NC_041956_11	NC_041956	NC_041956	11	7159	7782	1	E	YP_009151529.1	YP_009151529.1 major tail protein [Propionibacterium phage PHL030N00]	True	0.954	417.0	1.982e-132		VOG00135	sp|Q05229|VG23_BPML5 Major tail protein Gp23; Xs	Xs	0	False	V
NC_041956_12	NC_041956	NC_041956	12	7809	8105	1	E	YP_008531602.1	YP_008531602.1 tail assembly chaperone [Propionibacterium phage PHL067M10]	False	0.93	193.0	5.813e-57					0	False	
NC_041956_13	NC_041956	NC_041956	13	8204	8491	1	E	YP_008531875.1	YP_008531875.1 tail assembly chaperone [Propionibacterium phage PHL113M01]	False	1.0	205.0	3.812e-61		VOG14175	REFSEQ tail assembly chaperone; Xu	Xu	0	False	
NC_041956_14	NC_041956	NC_041956	14	8499	11264	1	D	YP_009603729.1	YP_009603729.1 tail length tape measure protein [Propionibacterium phage PHL117M01]	True	0.867	1657.0	0.0	Tape measure protein [PF20155.2]	VOG28638	REFSEQ tail length tape measure protein; Xu	Xu	0	False	
NC_041956_15	NC_041956	NC_041956	15	11280	12221	1	D	YP_009603730.1	YP_009603730.1 tail family protein [Propionibacterium phage PHL117M01]	True	1.0	674.0	1.575e-219	Phage tail protein [PF05709.14]				0	False	
NC_041956_16	NC_041956	NC_041956	16	12229	13386	1	D	YP_009603731.1	YP_009603731.1 minor tail protein [Propionibacterium phage PHL117M01]	True	0.988	805.0	2.321e-263	Siphovirus ReqiPepy6 Gp37-like protein [PF14594.9]	VOG04468	REFSEQ minor tail protein; Xu	Xu	0	False	
NC_041956_17	NC_041956	NC_041956	17	13406	14224	1	D	YP_009603732.1	YP_009603732.1 lectin [Propionibacterium phage PHL117M01]	True	0.974	560.0	8.338e-181	H-type lectin domain [PF09458.13]	VOG04668	REFSEQ lectin; Xu	Xu	0	False	
NC_041956_18	NC_041956	NC_041956	18	14269	14538	1	E	YP_009603733.1	YP_009603733.1 minor tail protein [Propionibacterium phage PHL117M01]	False	0.953	181.0	9.266e-53		VOG14065	REFSEQ minor tail protein; Xu	Xu	0	False	
NC_041956_19	NC_041956	NC_041956	19	14535	15323	1	D	YP_009603734.1	YP_009603734.1 collagen like minor tail [Propionibacterium phage PHL117M01]	True	0.875	478.0	1.561e-152	Collagen triple helix repeat (20 copies) [PF01391.21]	VOG00307	REFSEQ minor tail protein; Xu	Xu	0	False	
NC_041956_20	NC_041956	NC_041956	20	15301	15882	-1	E											0	False	
NC_041956_21	NC_041956	NC_041956	21	15961	16233	1	E	YP_009603735.1	YP_009603735.1 endolysin [Propionibacterium phage PHL117M01]	False	0.979	188.0	2.3910000000000003e-55					0	False	
NC_041956_22	NC_041956	NC_041956	22	16240	16635	1	D	YP_009603736.1	YP_009603736.1 holin [Propionibacterium phage PHL117M01]	False	0.948	263.0	1.486e-80	Putative lactococcus lactis phage r1t holin [PF16945.8]	VOG00319	sp|Q38134|HOLIN_BPR1T Holin; XhXp	Xh;Xp	0	False	
NC_041956_23	NC_041956	NC_041956	23	16720	17019	-1	E	YP_009603737.1	YP_009603737.1 hypothetical protein FDH76_gp22 [Propionibacterium phage PHL117M01]	False	0.967	204.0	1.198e-60		VOG14067	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_041956_24	NC_041956	NC_041956	24	17215	17595	-1	E	YP_009603738.1	YP_009603738.1 putative sigma factor [Propionibacterium phage PHL117M01]	False	0.983	263.0	8.505e-81		VOG01073	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_041956_25	NC_041956	NC_041956	25	17599	17883	-1	E	YP_009603739.1	YP_009603739.1 hypothetical protein FDH76_gp24 [Propionibacterium phage PHL117M01]	False	0.936	187.0	7.522e-55		VOG14068	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_041956_26	NC_041956	NC_041956	26	17896	18216	-1	E	YP_009603740.1	YP_009603740.1 hypothetical protein FDH76_gp25 [Propionibacterium phage PHL117M01]	False	0.992	224.0	1.2289999999999999e-67		VOG01073	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_041956_27	NC_041956	NC_041956	27	18226	19266	-1	E	YP_009151544.1	YP_009151544.1 exonuclease [Propionibacterium phage PHL030N00]	True	1.0	744.0	4.421e-243		VOG02246	sp|O31948|YONJ_BACSU SPbeta prophage-derived uncharacterized protein YonJ; Xu	Xu	0	False	
NC_041956_28	NC_041956	NC_041956	28	19263	19454	-1	E	YP_009151545.1	YP_009151545.1 hypothetical protein ACQ83_gp27 [Propionibacterium phage PHL030N00]	False	0.952	128.0	3.5330000000000003e-35		VOG09581	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_041956_29	NC_041956	NC_041956	29	19438	19998	-1	E	YP_009151546.1	YP_009151546.1 hypothetical protein ACQ83_gp28 [Propionibacterium phage PHL030N00]	True	1.0	409.0	2.918e-130		VOG05629	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_041956_30	NC_041956	NC_041956	30	19995	20558	-1	E	YP_009151547.1	YP_009151547.1 hypothetical protein ACQ83_gp29 [Propionibacterium phage PHL030N00]	True	1.0	409.0	4.197e-130		VOG14069	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_041956_31	NC_041956	NC_041956	31	20602	21273	-1	D	YP_009151548.1	YP_009151548.1 DNA primase [Propionibacterium phage PHL030N00]	True	1.0	484.0	1.602e-155	Toprim-like [PF13155.9]				0	False	
NC_041956_32	NC_041956	NC_041956	32	21471	21827	-1	E	YP_009151550.1	YP_009151550.1 hypothetical protein ACQ83_gp32 [Propionibacterium phage PHL030N00]	False	0.96	241.0	5.2200000000000006e-73		VOG00684	sp|O48499|D14_BPT5 Protein D14; Xh	Xh	0	False	
NC_041956_33	NC_041956	NC_041956	33	21831	22694	-1	D	YP_009151551.1	YP_009151551.1 DnaB-like replicative helicase [Propionibacterium phage PHL030N00]	True	0.993	604.0	1.474e-195	DnaB-like helicase C terminal domain [PF03796.18]; AAA domain [PF13481.9]	VOG04360	sp|P04530|HELIC_BPT4 DnaB-like replicative helicase; XhXr	Xh;Xr	0	False	V
NC_041956_34	NC_041956	NC_041956	34	22736	23197	-1	E	YP_009151552.1	YP_009151552.1 hypothetical protein ACQ83_gp34 [Propionibacterium phage PHL030N00]	False	0.954	309.0	5.316e-96		VOG05209	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_041956_35	NC_041956	NC_041956	35	23250	23660	-1	E	YP_009151553.1	YP_009151553.1 hypothetical protein ACQ83_gp35 [Propionibacterium phage PHL030N00]	False	0.922	265.0	5.343999999999998e-81		VOG09578	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_041956_36	NC_041956	NC_041956	36	23657	24604	-1	D	YP_009151554.1	YP_009151554.1 exonuclease [Propionibacterium phage PHL030N00]	True	1.0	685.0	2.5430000000000002e-223	PD-(D/E)XK nuclease superfamily [PF12705.10]	VOG00510	sp|O64262|VG69_BPMD2 Gene 69 protein; Xu	Xu	0	False	F
NC_041956_37	NC_041956	NC_041956	37	24604	24957	-1	D	YP_009151555.1	YP_009151555.1 dATP / dGTP pyrophosphohydrolase [Propionibacterium phage PHL030N00]	False	1.0	261.0	3.65e-80	dATP/dGTP diphosphohydrolase, N-terminal [PF18909.3]	VOG02778	REFSEQ endolysin; inhibits RNA polymerase; Xu	Xu	0	False	F
NC_041956_38	NC_041956	NC_041956	38	25063	25263	-1	E	YP_009151556.1	YP_009151556.1 hypothetical protein ACQ83_gp38 [Propionibacterium phage PHL030N00]	False	0.957	135.0	1.885e-37		VOG14070	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_041956_39	NC_041956	NC_041956	39	25260	25487	-1	E	YP_009151557.1	YP_009151557.1 hypothetical protein ACQ83_gp39 [Propionibacterium phage PHL030N00]	False	0.926	148.0	1.177e-41		VOG14071	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_041956_40	NC_041956	NC_041956	40	25497	26111	-1	E	YP_009151558.1	YP_009151558.1 hypothetical protein ACQ83_gp40 [Propionibacterium phage PHL030N00]	True	0.929	399.0	3.439e-126		VOG01941	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_041956_41	NC_041956	NC_041956	41	26157	26468	-1	E	YP_009151559.1	YP_009151559.1 hypothetical protein ACQ83_gp41 [Propionibacterium phage PHL030N00]	False	1.0	226.0	4.1109999999999995e-68		VOG14072	REFSEQ hypothetical protein; Xu	Xu	0	False	F
