	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_047926_1	NC_047926	NC_047926	1	1	840	1	E			YP_009798346.1	YP_009798346.1 hypothetical protein HOS80_gp001 [Lactobacillus phage Semele]	True	0.972	573.0	3.519e-185													VOG22146	REFSEQ hypothetical protein; Xu	Xu	0	False	TF
NC_047926_2	NC_047926	NC_047926	2	910	1320	-1	E			YP_009798347.1	YP_009798347.1 hypothetical protein HOS80_gp002 [Lactobacillus phage Semele]	False	0.883	252.0	1.307e-76													VOG06743	REFSEQ hypothetical protein; Xu	Xu	0	False	TF
NC_047926_3	NC_047926	NC_047926	3	1745	2161	1	E			YP_009798348.1	YP_009798348.1 terminase small subunit [Lactobacillus phage Semele]	False	0.934	273.0	1.064e-83													VOG07381	REFSEQ terminase small subunit; Xu	Xu	0	False	TF
NC_047926_4	NC_047926	NC_047926	4	2161	3210	1	D			YP_009798349.1	YP_009798349.1 terminase large subunit [Lactobacillus phage Semele]	True	0.996	737.0	2.03e-240								Phage terminase large subunit gpA, ATPase domain [PF05876.15]					VOG03409	REFSEQ terminase large subunit; Xu	Xu	0	False	TF
NC_047926_5	NC_047926	NC_047926	5	3510	3845	1	E			YP_009798350.1	YP_009798350.1 terminase large subunit [Lactobacillus phage Semele]	False	0.994	223.0	5.555e-67																0	False	TF
NC_047926_6	NC_047926	NC_047926	6	4080	5012	1	E			YP_009798351.1	YP_009798351.1 HNH endonuclease [Lactobacillus phage Semele]	True	1.0	662.0	2.395e-215													VOG00116	sp|Q5UQ10|YL192_MIMIV Uncharacterized protein L192; Xu	Xu	0	False	TF
NC_047926_7	NC_047926	NC_047926	7	5079	5432	1	E			YP_009798352.1	YP_009798352.1 terminase large subunit [Lactobacillus phage Semele]	False	0.982	244.0	2.111e-74																0	False	T
NC_047926_8	NC_047926	NC_047926	8	5820	5951	1	E			YP_009814394.1	YP_009814394.1 hypothetical protein HOU40_gp007 [Lactobacillus phage Bromius]	False	0.922	85.0	1.305e-20													VOG22285	REFSEQ hypothetical protein; Xu	Xu	0	False	T
NC_047926_9	NC_047926	NC_047926	9	6059	7690	1	E			YP_009798354.1	YP_009798354.1 portal protein [Lactobacillus phage Semele]	True	0.943	1076.0	0.0													VOG00344	sp|Q6QGD5|PORTL_BPT5 Portal protein; XhXpXrXs	Xs;Xp;Xh;Xr	0	False	VT
NC_047926_10	NC_047926	NC_047926	10	7733	8515	1	D			YP_009798355.1	YP_009798355.1 head maturation protease [Lactobacillus phage Semele]	True	0.957	525.0	7.258999999999999e-169								Caudovirus prohead serine protease [PF04586.20]					VOG02183	sp|D3WAC4|PRO_BPLP2 Probable capsid maturation protease; XhXs	Xs;Xh	0	False	VT
NC_047926_11	NC_047926	NC_047926	11	8571	9509	1	E			YP_009798356.1	YP_009798356.1 hypothetical protein HOS80_gp011 [Lactobacillus phage Semele]	True	0.827	533.0	1.493e-170													VOG22145	REFSEQ hypothetical protein; Xu	Xu	0	False	T
NC_047926_12	NC_047926	NC_047926	12	9613	11088	1	E			YP_009798357.1	YP_009798357.1 major head protein [Lactobacillus phage Semele]	True	0.954	986.0	5e-324													VOG02591	sp|Q6Y7S3|CAPSD_BPPGK Major capsid protein; Xs	Xs	0	False	VT
NC_047926_13	NC_047926	NC_047926	13	11231	12154	1	E			YP_009798358.1	YP_009798358.1 tail fiber protein [Lactobacillus phage Semele]	True	0.974	632.0	7.217e-205													VOG07388	REFSEQ tail fiber protein; Xu	Xu	0	False	T
NC_047926_14	NC_047926	NC_047926	14	12207	13124	1	E			YP_009798359.1	YP_009798359.1 virion structural protein [Lactobacillus phage Semele]	True	0.979	632.0	6.569e-205													VOG02665	REFSEQ virion structural protein; Xu	Xu	1	False	T
NC_047926_15	NC_047926	NC_047926	15	13117	13791	1	E			YP_009798360.1	YP_009798360.1 hypothetical protein HOS80_gp015 [Lactobacillus phage Semele]	True	0.979	464.0	1.624e-148													VOG07389	REFSEQ hypothetical protein; Xu	Xu	0	False	T
NC_047926_16	NC_047926	NC_047926	16	13807	14691	1	E			YP_009798361.1	YP_009798361.1 hypothetical protein HOS80_gp016 [Lactobacillus phage Semele]	True	0.948	587.0	8.403e-190													VOG04925	REFSEQ hypothetical protein; Xu	Xu	0	False	T
NC_047926_17	NC_047926	NC_047926	17	14711	14914	1	E			YP_009818246.1	YP_009818246.1 hypothetical protein HOU90_gp099 [Lactobacillus phage Lpa804]	False	0.909	130.0	1.6720000000000002e-35													VOG05001	REFSEQ hypothetical protein; Xu	Xu	0	False	T
NC_047926_18	NC_047926	NC_047926	18	14937	16775	1	E			YP_009798363.1	YP_009798363.1 tail sheath [Lactobacillus phage Semele]	True	0.923	1184.0	0.0													VOG01001	sp|P85225|VPN1_BPPHE Putative tail sheath protein; Xs	Xs	0	False	VT
NC_047926_19	NC_047926	NC_047926	19	16791	17261	1	E			YP_009818248.1	YP_009818248.1 virion structural protein [Lactobacillus phage Lpa804]	False	0.954	315.0	3.933e-98													VOG07390	sp|P85229|VPN5_BPPHE Virion protein 5; Xs	Xs	0	False	VT
NC_047926_20	NC_047926	NC_047926	20	17393	17986	1	E			YP_009798365.1	YP_009798365.1 tail assembly chaperone [Lactobacillus phage Semele]	True	0.924	383.0	7.451000000000001e-121													VOG07394	REFSEQ tail assembly chaperone; Xu	Xu	0	False	T
NC_047926_21	NC_047926	NC_047926	21	18042	18509	1	E			YP_009818250.1	YP_009818250.1 RNA polymerase beta subunit [Lactobacillus phage Lpa804]	False	0.918	300.0	8.318999999999999e-93													VOG07393	REFSEQ RNA polymerase beta subunit; Xu	Xu	0	False	T
NC_047926_22	NC_047926	NC_047926	22	18541	22626	1	D			YP_009798367.1	YP_009798367.1 tail associated lysin [Lactobacillus phage Semele]	True	0.88	2489.0	0.0								Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [PF01832.23]								0	False	MKT
NC_047926_23	NC_047926	NC_047926	23	22659	25751	1	D			YP_009798368.1	YP_009798368.1 tail protein with lysin activity [Lactobacillus phage Semele]	True	0.949	2048.0	0.0	MER0425209	C40	MER0425209 - family C40 unassigned peptidases () [C40.UPW]#C40#{peptidase unit: 933-1050}~source YP_164769~	False	154.0	4.018e-36	0.656	Lysozyme-like [PF13702.9]; NlpC/P60 family [PF00877.22]					VOG00051	sp|O64333|TIPK_BPN15 Tail tip assembly protein K; XhXs	Xs;Xh	0	False	VPT
NC_047926_24	NC_047926	NC_047926	24	25846	26778	1	D			YP_009798369.1	YP_009798369.1 HNH endonuclease [Lactobacillus phage Semele]	True	1.0	674.0	2.5669999999999997e-219								Protein of unknown function (DUF559) [PF04480.15]					VOG01086	REFSEQ Helicase Nuclease; Xu	Xu	0	False	T
NC_047926_25	NC_047926	NC_047926	25	26908	30309	1	E			YP_009798370.1	YP_009798370.1 tail fiber protein [Lactobacillus phage Semele]	True	0.93	2209.0	0.0													VOG31927	REFSEQ tail fiber protein; Xu	Xu	0	False	T
NC_047926_26	NC_047926	NC_047926	26	30302	30625	1	E			YP_009798371.1	YP_009798371.1 hypothetical protein HOS80_gp026 [Lactobacillus phage Semele]	False	0.885	199.0	5.731e-59													VOG13843	REFSEQ hypothetical protein; Xu	Xu	0	False	T
NC_047926_27	NC_047926	NC_047926	27	30648	31073	1	D			YP_009798372.1	YP_009798372.1 hypothetical protein HOS80_gp027 [Lactobacillus phage Semele]	False	0.938	280.0	4.18e-86								Protein of unknown function (DUF1617) [PF07761.15]					VOG01603	REFSEQ hypothetical protein; Xu	Xu	0	False	T
NC_047926_28	NC_047926	NC_047926	28	31086	31736	1	E			YP_009798373.1	YP_009798373.1 virion structural protein [Lactobacillus phage Semele]	True	0.927	421.0	9.444e-134													VOG07395	REFSEQ virion structural protein; Xu	Xu	0	False	T
NC_047926_29	NC_047926	NC_047926	29	31752	32279	1	E			YP_009798374.1	YP_009798374.1 hypothetical protein HOS80_gp029 [Lactobacillus phage Semele]	True	0.959	355.0	1.401e-111													VOG06213	REFSEQ hypothetical protein; Xu	Xu	0	False	T
NC_047926_30	NC_047926	NC_047926	30	32344	33039	1	D			YP_009798375.1	YP_009798375.1 baseplate protein [Lactobacillus phage Semele]	True	0.949	462.0	1.095e-147								Protein of unknown function (DUF2634) [PF10934.11]					VOG00875	sp|P09425|BP25_BPT4 Baseplate wedge protein gp25; XhXs	Xs;Xh	0	False	VT
NC_047926_31	NC_047926	NC_047926	31	33054	34439	1	D			YP_009798376.1	YP_009798376.1 baseplate wedge subunit [Lactobacillus phage Semele]	True	0.945	885.0	1.845e-289								Baseplate J-like protein [PF04865.17]					VOG00521	sp|P51767|BPJ_BPP2 Baseplate protein J; XhXs	Xs;Xh	0	False	VT
NC_047926_32	NC_047926	NC_047926	32	34456	37284	1	E			YP_009798377.1	YP_009798377.1 hypothetical protein HOS80_gp032 [Lactobacillus phage Semele]	True	0.953	1888.0	0.0																0	False	T
NC_047926_33	NC_047926	NC_047926	33	37339	37863	1	E			YP_009798378.1	YP_009798378.1 virion structural protein [Lactobacillus phage Semele]	True	0.959	353.0	6.469e-111													VOG02228	sp|P85227|BP40_BPPHE Virion protein 3; Xs	Xs	0	False	VT
NC_047926_34	NC_047926	NC_047926	34	37881	42146	1	D			YP_009798379.1	YP_009798379.1 hypothetical protein HOS80_gp034 [Lactobacillus phage Semele]	True	0.938	2794.0	0.0								Domain of unknown function (DUF4815) [PF16075.8]					VOG04291	REFSEQ hypothetical protein; Xu	Xu	0	False	T
NC_047926_35	NC_047926	NC_047926	35	42235	42675	1	E			YP_009798380.1	YP_009798380.1 putative holin [Lactobacillus phage Semele]	False	0.879	269.0	2.674e-82													VOG22249	REFSEQ putative holin; Xu	Xu	0	False	T
NC_047926_36	NC_047926	NC_047926	36	42675	44075	1	C	K07273	lysozyme	YP_009798381.1	YP_009798381.1 endolysin [Lactobacillus phage Semele]	True	0.946	927.0	3.915e-304								Glycosyl hydrolases family 25 [PF01183.23]; Bacterial SH3 domain [PF08460.13]; LysM domain [PF01476.23]	GH25	GH25 lysozyme (EC 3.2.1.17)	3.2.1.17	GH25.hmm				0	False	T
NC_047926_37	NC_047926	NC_047926	37	44130	44666	-1	D			YP_009798382.1	YP_009798382.1 nudix hydrolase [Lactobacillus phage Semele]	True	0.95	357.0	2.434e-112								NUDIX domain [PF00293.31]					VOG00129	sp|Q196U9|VF414_IIV3 Putative hydrolase 111R; Xu	Xu	0	False	T
NC_047926_38	NC_047926	NC_047926	38	44669	45775	-1	C	K06211	HTH-type transcriptional regulator, transcriptional repressor of NAD biosynthesis genes [EC:2.7.7.1 2.7.1.22]	YP_009798383.1	YP_009798383.1 nicotinamide-nucleotide adenylyltransferase [Lactobacillus phage Semele]	True	0.993	774.0	6.766e-253								AAA domain [PF13521.9]; Citrate lyase ligase C-terminal domain [PF08218.14]; Cytidylyltransferase-like [PF01467.29]					VOG01061	sp|Q55928|NADM_SYNY3 Bifunctional NMN adenylyltransferase/Nudix hydrolase; Xh	Xh	0	False	MKT
