	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_028662_NC_028662_1	NC_028662	NC_028662	1	815	1285	1	E								0
NC_028662_NC_028662_2	NC_028662	NC_028662	2	1361	2719	1	E								0
NC_028662_NC_028662_3	NC_028662	NC_028662	3	2716	5016	1	D			GDSL-like Lipase/Acylhydrolase family [PF13472.9]					0
NC_028662_NC_028662_4	NC_028662	NC_028662	4	5021	5680	1	E								0
NC_028662_NC_028662_5	NC_028662	NC_028662	5	6046	7533	1	C	K03791	putative chitinase	Chitinase class I [PF00182.22]; Peptidase_C39 like family [PF13529.9]	GH19	GH19 chitinase (EC 3.2.1.14); lysozyme (EC 3.2.1.17); [reducing end] chitinase (EC 3.2.1.201)	3.2.1.14,3.2.1.17	GH19.hmm	0
NC_028662_NC_028662_6	NC_028662	NC_028662	6	7530	7898	1	D			Mycobacterial 2 TMS Phage Holin (M2 Hol) Family [PF16081.8]					0
NC_028662_NC_028662_7	NC_028662	NC_028662	7	7912	9663	1	D			Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, ATPase domain [PF03354.18]					0
NC_028662_NC_028662_8	NC_028662	NC_028662	8	9660	11111	1	D			Phage portal protein, SPP1 Gp6-like [PF05133.17]					0
NC_028662_NC_028662_9	NC_028662	NC_028662	9	11108	12109	1	E								0
NC_028662_NC_028662_10	NC_028662	NC_028662	10	12163	12693	1	E								0
NC_028662_NC_028662_11	NC_028662	NC_028662	11	12721	13926	1	D			Phage capsid family [PF05065.16]; Gene product 44 [PF17510.5]					0
NC_028662_NC_028662_12	NC_028662	NC_028662	12	13995	14369	1	D			Phage protein Gp19/Gp15/Gp42 [PF09355.13]					0
NC_028662_NC_028662_13	NC_028662	NC_028662	13	14366	14542	1	E								0
NC_028662_NC_028662_14	NC_028662	NC_028662	14	14539	14907	1	E								0
NC_028662_NC_028662_15	NC_028662	NC_028662	15	14907	15233	1	D			Family of unknown function (DUF5403) [PF17395.5]					0
NC_028662_NC_028662_16	NC_028662	NC_028662	16	15243	15662	1	E								0
NC_028662_NC_028662_17	NC_028662	NC_028662	17	15680	16519	1	E								0
NC_028662_NC_028662_18	NC_028662	NC_028662	18	16633	17028	1	D			Mycobacteriophage tail assembly protein [PF17388.5]					0
NC_028662_NC_028662_19	NC_028662	NC_028662	19	16980	17438	1	E								0
NC_028662_NC_028662_20	NC_028662	NC_028662	20	17431	20733	1	E								0
NC_028662_NC_028662_21	NC_028662	NC_028662	21	20737	21756	1	E								0
NC_028662_NC_028662_22	NC_028662	NC_028662	22	21753	23534	1	E								0
NC_028662_NC_028662_23	NC_028662	NC_028662	23	23555	24004	1	D			Protein of unknown function (DUF2744) [PF10910.11]					0
NC_028662_NC_028662_24	NC_028662	NC_028662	24	24055	24303	1	D			Protein of unknown function (DUF2746) [PF10874.11]					0
NC_028662_NC_028662_25	NC_028662	NC_028662	25	24300	26288	1	E								0
NC_028662_NC_028662_26	NC_028662	NC_028662	26	26952	27530	1	D			VirC1 protein [PF07015.14]; ATPase MipZ [PF09140.14]; AAA domain [PF13614.9]; Cellulose biosynthesis protein BcsQ [PF06564.15]; CobQ/CobB/MinD/ParA nucleotide binding domain [PF01656.26]; SRP54-type protein, GTPase domain [PF00448.25]; NUBPL iron-transfer P-loop NTPase [PF10609.12]					0
NC_028662_NC_028662_27	NC_028662	NC_028662	27	27523	27795	1	E								0
NC_028662_NC_028662_28	NC_028662	NC_028662	28	27863	28027	1	E								0
NC_028662_NC_028662_29	NC_028662	NC_028662	29	28083	28640	1	E								0
NC_028662_NC_028662_30	NC_028662	NC_028662	30	28456	28863	-1	E								0
NC_028662_NC_028662_31	NC_028662	NC_028662	31	28856	29119	-1	E								0
NC_028662_NC_028662_32	NC_028662	NC_028662	32	29120	30919	-1	D			DNA polymerase family A [PF00476.23]; 3'-5' exonuclease [PF01612.23]					0
NC_028662_NC_028662_33	NC_028662	NC_028662	33	30927	31115	-1	E								0
NC_028662_NC_028662_34	NC_028662	NC_028662	34	31108	31308	-1	E								0
NC_028662_NC_028662_35	NC_028662	NC_028662	35	31308	31613	-1	E								0
NC_028662_NC_028662_36	NC_028662	NC_028662	36	31606	31812	-1	E								0
NC_028662_NC_028662_37	NC_028662	NC_028662	37	31824	32546	-1	C	K03465	thymidylate synthase (FAD) [EC:2.1.1.148]	Thymidylate synthase complementing protein [PF02511.18]					0
NC_028662_NC_028662_38	NC_028662	NC_028662	38	32638	33153	-1	E								0
NC_028662_NC_028662_39	NC_028662	NC_028662	39	33165	35204	-1	D			Ribonucleotide reductase, barrel domain [PF02867.18]; Ribonucleotide reductase alpha domain [PF17975.4]					0
NC_028662_NC_028662_40	NC_028662	NC_028662	40	35197	35373	-1	E								0
NC_028662_NC_028662_41	NC_028662	NC_028662	41	35708	36400	-1	E								0
NC_028662_NC_028662_42	NC_028662	NC_028662	42	36404	37174	-1	D			Calcineurin-like phosphoesterase superfamily domain [PF12850.10]; Calcineurin-like phosphoesterase [PF00149.31]					0
NC_028662_NC_028662_43	NC_028662	NC_028662	43	37167	37634	-1	D			Protein of unknwon function (DUF3310) [PF11753.11]					0
NC_028662_NC_028662_44	NC_028662	NC_028662	44	37635	37907	-1	D			Glutaredoxin [PF00462.27]; Glutaredoxin-like domain (DUF836) [PF05768.17]; Glutathione S-transferase, N-terminal domain [PF13417.9]					0
NC_028662_NC_028662_45	NC_028662	NC_028662	45	37907	38140	-1	E								0
NC_028662_NC_028662_46	NC_028662	NC_028662	46	38140	38775	-1	D			Toprim-like [PF13155.9]					0
NC_028662_NC_028662_47	NC_028662	NC_028662	47	38992	39123	-1	E								0
NC_028662_NC_028662_48	NC_028662	NC_028662	48	39783	40127	-1	D			MazG nucleotide pyrophosphohydrolase domain [PF03819.20]					0
NC_028662_NC_028662_49	NC_028662	NC_028662	49	40127	40345	-1	D			Gene product 63 [PF17471.5]					0
NC_028662_NC_028662_50	NC_028662	NC_028662	50	40410	41195	-1	D			DnaB-like helicase C terminal domain [PF03796.18]; AAA domain [PF13481.9]; KaiC [PF06745.16]					0
NC_028662_NC_028662_51	NC_028662	NC_028662	51	41140	41280	-1	E								0
NC_028662_NC_028662_52	NC_028662	NC_028662	52	41308	41448	-1	E								0
NC_028662_NC_028662_53	NC_028662	NC_028662	53	41450	41683	-1	D			Gp68-like predicted RNA polymerase component [PF17469.5]					0
NC_028662_NC_028662_54	NC_028662	NC_028662	54	42056	42868	-1	C	K07465	putative RecB family exonuclease	PD-(D/E)XK nuclease superfamily [PF12705.10]; Domain of unknown function DUF83 [PF01930.20]					0
NC_028662_NC_028662_55	NC_028662	NC_028662	55	42862	43014	-1	E								0
NC_028662_NC_028662_56	NC_028662	NC_028662	56	43068	43268	-1	E								0
NC_028662_NC_028662_57	NC_028662	NC_028662	57	43292	43771	-1	E								0
NC_028662_NC_028662_58	NC_028662	NC_028662	58	43716	44228	-1	C	K00558	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	C-5 cytosine-specific DNA methylase [PF00145.20]					0
NC_028662_NC_028662_59	NC_028662	NC_028662	59	44386	44724	-1	E								0
NC_028662_NC_028662_60	NC_028662	NC_028662	60	44777	44998	-1	E								0
NC_028662_NC_028662_61	NC_028662	NC_028662	61	45000	45311	-1	E								0
NC_028662_NC_028662_62	NC_028662	NC_028662	62	45337	45513	-1	E								0
NC_028662_NC_028662_63	NC_028662	NC_028662	63	45510	45710	-1	E								0
NC_028662_NC_028662_64	NC_028662	NC_028662	64	46163	46291	-1	E								0
NC_028662_NC_028662_65	NC_028662	NC_028662	65	46348	46719	-1	E								0
NC_028662_NC_028662_66	NC_028662	NC_028662	66	46748	46978	-1	E								0
NC_028662_NC_028662_67	NC_028662	NC_028662	67	47004	47345	-1	E								0
NC_028662_NC_028662_68	NC_028662	NC_028662	68	47371	47718	-1	E								0
NC_028662_NC_028662_69	NC_028662	NC_028662	69	47752	48132	-1	E								0
NC_028662_NC_028662_70	NC_028662	NC_028662	70	48760	48975	-1	E								0
NC_028662_NC_028662_71	NC_028662	NC_028662	71	49092	49352	-1	E								0
