	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001234.1_1	QGNH01001234.1	QGNH01001234.1	1	564	1424	1	E													0	False	F
QGNH01001234.1_2	QGNH01001234.1	QGNH01001234.1	2	1447	2199	1	E													0	False	F
QGNH01001234.1_3	QGNH01001234.1	QGNH01001234.1	3	2487	3074	-1	E													0	False	F
QGNH01001234.1_4	QGNH01001234.1	QGNH01001234.1	4	3101	3709	-1	E													0	False	F
QGNH01001234.1_5	QGNH01001234.1	QGNH01001234.1	5	3714	5159	-1	D									Terminase large subunit, ATPase domain [PF03354.18]; Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01001234.1_6	QGNH01001234.1	QGNH01001234.1	6	5156	5527	-1	E													0	False	F
QGNH01001234.1_7	QGNH01001234.1	QGNH01001234.1	7	5893	6033	1	E													0	False	F
QGNH01001234.1_8	QGNH01001234.1	QGNH01001234.1	8	6090	6746	-1	E													0	False	F
QGNH01001234.1_9	QGNH01001234.1	QGNH01001234.1	9	6760	6930	-1	E													0	False	F
QGNH01001234.1_10	QGNH01001234.1	QGNH01001234.1	10	6927	7232	-1	E													0	False	F
QGNH01001234.1_11	QGNH01001234.1	QGNH01001234.1	11	7229	7537	-1	E													0	False	F
QGNH01001234.1_12	QGNH01001234.1	QGNH01001234.1	12	7534	7722	-1	E													0	False	F
QGNH01001234.1_13	QGNH01001234.1	QGNH01001234.1	13	7905	8432	1	E													0	False	F
QGNH01001234.1_14	QGNH01001234.1	QGNH01001234.1	14	8429	9745	1	C	K14059	integrase	YP_008858678.1	YP_008858678.1 integrase [Brevibacillus phage Davies]	False	87.0	1.295e-16	0.289	Phage integrase family [PF00589.25]	VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xr;Xh	0	False	VF
