	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001662.1_1	QGNH01001662.1	QGNH01001662.1	1	359	904	1	E							0	False	F
QGNH01001662.1_2	QGNH01001662.1	QGNH01001662.1	2	901	1170	1	E							0	False	F
QGNH01001662.1_3	QGNH01001662.1	QGNH01001662.1	3	1167	1472	1	E							0	False	F
QGNH01001662.1_4	QGNH01001662.1	QGNH01001662.1	4	1472	1933	1	E							0	False	F
QGNH01001662.1_5	QGNH01001662.1	QGNH01001662.1	5	1938	2318	1	E							0	False	F
QGNH01001662.1_6	QGNH01001662.1	QGNH01001662.1	6	2315	2707	1	E							0	False	F
QGNH01001662.1_7	QGNH01001662.1	QGNH01001662.1	7	2720	3301	1	E							0	False	F
QGNH01001662.1_8	QGNH01001662.1	QGNH01001662.1	8	3298	5367	1	E				VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01001662.1_9	QGNH01001662.1	QGNH01001662.1	9	5364	5744	1	E							0	False	
QGNH01001662.1_10	QGNH01001662.1	QGNH01001662.1	10	5744	6166	1	C	K04078	chaperonin GroES	Chaperonin 10 Kd subunit [PF00166.24]				0	False	
QGNH01001662.1_11	QGNH01001662.1	QGNH01001662.1	11	6163	6924	1	E							0	False	
QGNH01001662.1_12	QGNH01001662.1	QGNH01001662.1	12	6921	7421	1	E							0	False	
QGNH01001662.1_13	QGNH01001662.1	QGNH01001662.1	13	7421	9526	1	E				VOG06990	REFSEQ portal protein; Xu	Xu	0	False	F
QGNH01001662.1_14	QGNH01001662.1	QGNH01001662.1	14	9526	9858	1	E							0	False	F
QGNH01001662.1_15	QGNH01001662.1	QGNH01001662.1	15	10036	10320	1	E							0	False	F
QGNH01001662.1_16	QGNH01001662.1	QGNH01001662.1	16	10526	11938	1	E							0	False	F
QGNH01001662.1_17	QGNH01001662.1	QGNH01001662.1	17	12209	13234	1	E							0	False	F
QGNH01001662.1_18	QGNH01001662.1	QGNH01001662.1	18	13247	13465	1	E							0	False	F
QGNH01001662.1_19	QGNH01001662.1	QGNH01001662.1	19	13466	13996	1	E							0	False	F
