	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001385.1_1	QGNH01001385.1	QGNH01001385.1	1	2	169	1	E																		0	False	F
QGNH01001385.1_2	QGNH01001385.1	QGNH01001385.1	2	166	852	-1	E															VOG12322	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01001385.1_3	QGNH01001385.1	QGNH01001385.1	3	842	1300	-1	E																		0	False	F
QGNH01001385.1_4	QGNH01001385.1	QGNH01001385.1	4	1297	1866	-1	E	YP_009813648.1	YP_009813648.1 Holliday junction resolvase [Dickeya phage vB_DsoM_JA11]	False	0.287	66.0	1.604e-11									VOG00053	sp|P13004|YLYS_BPPHV Uncharacterized protein near lysin gene (Fragment); Xu	Xu	0	False	F
QGNH01001385.1_5	QGNH01001385.1	QGNH01001385.1	5	2064	4253	1	E															VOG12309	REFSEQ ATPase; Xu	Xu	1	False	F
QGNH01001385.1_6	QGNH01001385.1	QGNH01001385.1	6	4319	5092	1	E	YP_009904016.1	YP_009904016.1 virion structural protein [Burkholderia phage BcepSaruman]	False	0.248	66.0	6.434e-11									VOG12308	REFSEQ virion structural protein; Xu	Xu	0	False	F
QGNH01001385.1_7	QGNH01001385.1	QGNH01001385.1	7	5152	6246	1	E	YP_008433411.1	YP_008433411.1 major head protein [Pseudomonas phage PaBG]	False	0.404	233.0	4.317e-66									VOG04117	sp|P19693|CAPSA_BPT3 Major capsid protein; XrXs	Xr;Xs	0	False	V
QGNH01001385.1_8	QGNH01001385.1	QGNH01001385.1	8	6319	7374	1	E	YP_008433512.1	YP_008433512.1 HNH endonuclease [Pseudomonas phage PaBG]	False	0.381	91.0	2.151e-18												0	False	
QGNH01001385.1_9	QGNH01001385.1	QGNH01001385.1	9	7401	8363	1	E	YP_001426132.1	YP_001426132.1 hypothetical protein FR483_N500R [Paramecium bursaria Chlorella virus FR483]	False	0.366	205.0	3.754e-57									VOG18582	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01001385.1_10	QGNH01001385.1	QGNH01001385.1	10	8373	8852	1	E																		0	False	
QGNH01001385.1_11	QGNH01001385.1	QGNH01001385.1	11	8849	9595	1	E																		0	False	
