	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000888.1_1	QGNH01000888.1	QGNH01000888.1	1	1	543	1	D	YP_010064526.1	YP_010064526.1 integrase [Ralstonia phage Anchaing]	False	0.345	83.0	2.084e-17								Phage integrase family [PF00589.25]					VOG04612	sp|P46495|Y1572_HAEIN Putative integrase/recombinase HI_1572; Xr	Xr	0	False	VF
QGNH01000888.1_2	QGNH01000888.1	QGNH01000888.1	2	781	1353	-1	E																						0	False	F
QGNH01000888.1_3	QGNH01000888.1	QGNH01000888.1	3	1402	1872	-1	E																						0	False	F
QGNH01000888.1_4	QGNH01000888.1	QGNH01000888.1	4	1948	2481	-1	E																						0	False	F
QGNH01000888.1_5	QGNH01000888.1	QGNH01000888.1	5	2737	3426	-1	E																						0	False	F
QGNH01000888.1_6	QGNH01000888.1	QGNH01000888.1	6	3717	4181	1	E																						0	False	F
QGNH01000888.1_7	QGNH01000888.1	QGNH01000888.1	7	4183	4302	1	E																						0	False	F
QGNH01000888.1_8	QGNH01000888.1	QGNH01000888.1	8	4363	4992	-1	E																						0	False	F
QGNH01000888.1_9	QGNH01000888.1	QGNH01000888.1	9	5750	6247	-1	E																						0	False	
QGNH01000888.1_10	QGNH01000888.1	QGNH01000888.1	10	6545	6880	-1	E																						0	False	
QGNH01000888.1_11	QGNH01000888.1	QGNH01000888.1	11	7081	8118	1	E	YP_010678935.1	YP_010678935.1 structural protein [Pseudomonas phage vB_PaeM_PA5oct]	False	0.323	96.0	4.215e-20																0	False	
QGNH01000888.1_12	QGNH01000888.1	QGNH01000888.1	12	8303	8680	1	E																						0	False	
QGNH01000888.1_13	QGNH01000888.1	QGNH01000888.1	13	8828	9043	1	E																						0	False	
QGNH01000888.1_14	QGNH01000888.1	QGNH01000888.1	14	9056	9535	1	E																						0	False	
QGNH01000888.1_15	QGNH01000888.1	QGNH01000888.1	15	9519	10541	1	E																						0	False	
QGNH01000888.1_16	QGNH01000888.1	QGNH01000888.1	16	10553	11557	1	D														Family of unknown function (DUF5906) [PF19263.2]								0	False	F
QGNH01000888.1_17	QGNH01000888.1	QGNH01000888.1	17	11464	11973	-1	D	YP_008873181.1	YP_008873181.1 major head protein [Pseudomonas phage PPpW-3]	False	0.481	116.0	1.014e-28	MER0194231	S78	MER0194231 - family S78 non-peptidase homologues (Neisseria meningitidis) [S78.UNW]#S78#{peptidase unit: 24-163}~source CBA05300~	False	99.0	9.917e-23	0.4									0	False	PF
QGNH01000888.1_18	QGNH01000888.1	QGNH01000888.1	18	11999	12370	-1	E																						0	False	F
QGNH01000888.1_19	QGNH01000888.1	QGNH01000888.1	19	12393	12959	1	E																						0	False	F
QGNH01000888.1_20	QGNH01000888.1	QGNH01000888.1	20	12973	13245	1	E																						0	False	F
QGNH01000888.1_21	QGNH01000888.1	QGNH01000888.1	21	13242	13709	1	D	YP_010096292.1	YP_010096292.1 baseplate hub subunit and tail lysozyme [Escherichia phage SF]	False	0.323	82.0	3.146e-17								Phage lysozyme [PF00959.22]	GH24	GH24 lysozyme (EC 3.2.1.17)	3.2.1.17	GH24.hmm				0	False	F
QGNH01000888.1_22	QGNH01000888.1	QGNH01000888.1	22	13731	13970	1	E																						0	False	F
QGNH01000888.1_23	QGNH01000888.1	QGNH01000888.1	23	14116	14496	1	E																						0	False	F
QGNH01000888.1_24	QGNH01000888.1	QGNH01000888.1	24	14843	15463	1	E																						0	False	F
QGNH01000888.1_25	QGNH01000888.1	QGNH01000888.1	25	15619	15678	1	E																						0	False	F
