	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	heme_regulatory_motif_count
GCA_002271085.1_MF443783.1_1	GCA_002271085.1	MF443783.1	1	170	346	1	E		0
GCA_002271085.1_MF443783.1_2	GCA_002271085.1	MF443783.1	2	411	767	1	E		0
GCA_002271085.1_MF443783.1_3	GCA_002271085.1	MF443783.1	3	736	1083	1	E		0
GCA_002271085.1_MF443783.1_4	GCA_002271085.1	MF443783.1	4	1056	1460	1	E		0
GCA_002271085.1_MF443783.1_5	GCA_002271085.1	MF443783.1	5	1462	2010	1	E		0
GCA_002271085.1_MF443783.1_6	GCA_002271085.1	MF443783.1	6	2007	2336	1	E		0
GCA_002271085.1_MF443783.1_7	GCA_002271085.1	MF443783.1	7	2493	2747	1	E		0
GCA_002271085.1_MF443783.1_8	GCA_002271085.1	MF443783.1	8	2748	3209	1	E		0
GCA_002271085.1_MF443783.1_9	GCA_002271085.1	MF443783.1	9	3244	3366	1	E		0
GCA_002271085.1_MF443783.1_10	GCA_002271085.1	MF443783.1	10	3357	3674	1	E		0
GCA_002271085.1_MF443783.1_11	GCA_002271085.1	MF443783.1	11	3713	3979	1	E		0
GCA_002271085.1_MF443783.1_12	GCA_002271085.1	MF443783.1	12	3985	4314	1	E		0
GCA_002271085.1_MF443783.1_13	GCA_002271085.1	MF443783.1	13	4323	4724	1	E		0
GCA_002271085.1_MF443783.1_14	GCA_002271085.1	MF443783.1	14	4773	5450	1	E		0
GCA_002271085.1_MF443783.1_15	GCA_002271085.1	MF443783.1	15	5450	5734	1	E		0
GCA_002271085.1_MF443783.1_16	GCA_002271085.1	MF443783.1	16	5869	6750	1	E		0
GCA_002271085.1_MF443783.1_17	GCA_002271085.1	MF443783.1	17	6747	6965	1	E		0
GCA_002271085.1_MF443783.1_18	GCA_002271085.1	MF443783.1	18	6968	7378	1	E		0
GCA_002271085.1_MF443783.1_19	GCA_002271085.1	MF443783.1	19	7548	7799	-1	E		0
GCA_002271085.1_MF443783.1_20	GCA_002271085.1	MF443783.1	20	8217	8423	-1	E		0
GCA_002271085.1_MF443783.1_21	GCA_002271085.1	MF443783.1	21	8606	8836	1	E		0
GCA_002271085.1_MF443783.1_22	GCA_002271085.1	MF443783.1	22	8885	9124	1	E		0
GCA_002271085.1_MF443783.1_23	GCA_002271085.1	MF443783.1	23	9121	9342	1	E		0
GCA_002271085.1_MF443783.1_24	GCA_002271085.1	MF443783.1	24	9323	9430	-1	E		0
