	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_005841_NC_005841_1	NC_005841	NC_005841	1	17	1474	-1	D										Glucosyl transferase GtrII [PF14264.9]					0
NC_005841_NC_005841_2	NC_005841	NC_005841	2	1464	2396	-1	C	K20534	polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]								Glycosyl transferase family 2 [PF00535.29]	GT2_Glycos_transf_2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289); alternating beta-1,3/4-N-acetylmannan synthase (2.4.1.-); UDP-GlcA: N-acetylglucosaminyl-proteoglycan beta-1,4-glucuronosyltransferase (EC 2.4.1.225); [inverting] UDP-Glc: glycocin S-beta-glucosyltransferase (EC 2.4.1.-); [inverting] UDP-Glc: protein O-beta-glucosyltransferase (EC 2.4.1.-)		GT2_Glycos_transf_2.hmm	0
NC_005841_NC_005841_3	NC_005841	NC_005841	3	2495	2746	1	E															0
NC_005841_NC_005841_4	NC_005841	NC_005841	4	3104	4267	-1	C	K03111	single-strand DNA-binding protein								Phage integrase family [PF00589.25]					0
NC_005841_NC_005841_5	NC_005841	NC_005841	5	4497	4634	-1	E															0
NC_005841_NC_005841_6	NC_005841	NC_005841	6	4706	4990	-1	E															0
NC_005841_NC_005841_7	NC_005841	NC_005841	7	4983	5267	-1	D										Domain of unknown function (DUF4752) [PF15944.8]					0
NC_005841_NC_005841_8	NC_005841	NC_005841	8	5267	6085	-1	D										Ead/Ea22-like protein [PF13935.9]; Protein of unknown function (DUF551) [PF04448.15]					0
NC_005841_NC_005841_9	NC_005841	NC_005841	9	6128	6637	-1	E															0
NC_005841_NC_005841_10	NC_005841	NC_005841	10	6815	7108	-1	D										Bacteriophage P22, anti-RecBCD protein 2 [PF11043.11]					0
NC_005841_NC_005841_11	NC_005841	NC_005841	11	7155	7439	-1	E															0
