	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_014229_1	NC_014229	NC_014229	1	98	565	1	E			YP_003714728.1	YP_003714728.1 gp21 [Streptomyces phage phiSASD1]	False	0.96	255.0	3.526e-77		VOG00726	sp|O64201|VG05_BPMD2 Gene 5 protein; Xu	Xu	0	False	F
NC_014229_2	NC_014229	NC_014229	2	558	2168	1	D			YP_003714729.1	YP_003714729.1 terminase large subunit [Streptomyces phage phiSASD1]	True	0.988	1119.0	0.0	Terminase large subunit, endonuclease domain [PF20441.1]	VOG00185	sp|O64206|VG13_BPMD2 Gene 13 protein; Xu	Xu	0	False	F
NC_014229_3	NC_014229	NC_014229	3	2181	3668	1	D			YP_003714730.1	YP_003714730.1 portal protein [Streptomyces phage phiSASD1]	True	0.956	997.0	0.0	Phage portal protein, SPP1 Gp6-like [PF05133.17]	VOG00109	sp|Q05220|PORTL_BPML5 Portal protein; XpXrXs	Xs;Xp;Xr	0	False	VF
NC_014229_4	NC_014229	NC_014229	4	3643	4287	1	E			YP_003714731.1	YP_003714731.1 head maturation protease [Streptomyces phage phiSASD1]	True	0.923	415.0	9.742000000000001e-132		VOG00912	sp|O64208|VG15_BPMD2 Gene 15 protein; Xu	Xu	0	False	F
NC_014229_5	NC_014229	NC_014229	5	4319	4546	1	E			YP_003714732.1	YP_003714732.1 gp25 [Streptomyces phage phiSASD1]	False	0.933	149.0	4.554000000000001e-42					0	False	F
NC_014229_6	NC_014229	NC_014229	6	4637	5314	1	E			YP_003714733.1	YP_003714733.1 head scaffolding protein [Streptomyces phage phiSASD1]	True	0.898	423.0	2.981e-134		VOG01050	REFSEQ head scaffolding protein; Xu	Xu	0	False	F
NC_014229_7	NC_014229	NC_014229	7	5351	6226	1	D			YP_003714734.1	YP_003714734.1 major head protein [Streptomyces phage phiSASD1]	True	0.931	570.0	1.055e-183	P22 coat protein - gene protein 5 [PF11651.11]; Phage capsid protein [PF19821.2]	VOG00529	sp|P19727|CAPSB_BPT7 Minor capsid protein; XrXs	Xs;Xr	0	False	V
NC_014229_8	NC_014229	NC_014229	8	6309	6491	1	E			YP_003714735.1	YP_003714735.1 gp28 [Streptomyces phage phiSASD1]	False	0.869	111.0	4.75e-29					0	False	
NC_014229_9	NC_014229	NC_014229	9	6506	7102	1	E			YP_003714736.1	YP_003714736.1 head-tail adaptor [Streptomyces phage phiSASD1]	True	0.92	383.0	7.812e-121		VOG00699	REFSEQ head-tail adaptor; Xu	Xu	0	False	
NC_014229_10	NC_014229	NC_014229	10	7099	7437	1	E			YP_003714737.1	YP_003714737.1 gp30 [Streptomyces phage phiSASD1]	False	0.996	190.0	1.971e-55					0	False	
NC_014229_11	NC_014229	NC_014229	11	7450	7773	1	E			YP_003714738.1	YP_003714738.1 tail protein [Streptomyces phage phiSASD1]	False	0.906	205.0	9.413e-61		VOG25224	REFSEQ tail protein; Xu	Xu	0	False	
NC_014229_12	NC_014229	NC_014229	12	7773	8141	1	D			YP_003714739.1	YP_003714739.1 tail completion or Neck1 protein [Streptomyces phage phiSASD1]	False	0.943	244.0	5.062e-74	Bacteriophage HK97-gp10, putative tail-component [PF04883.15]	VOG00130	REFSEQ tail completion or Neck1 protein; Xu	Xu	0	False	
NC_014229_13	NC_014229	NC_014229	13	8143	8547	1	D			YP_003714740.1	YP_003714740.1 tail terminator [Streptomyces phage phiSASD1]	False	0.962	273.0	4.666e-84	Protein of unknown function (DUF3168) [PF11367.11]	VOG00447	sp|O48448|COMPL_BPSPP Tail completion protein gp17; Xs	Xs	0	False	V
NC_014229_14	NC_014229	NC_014229	14	8565	8987	1	D			YP_003714741.1	YP_003714741.1 major tail protein [Streptomyces phage phiSASD1]	False	0.965	287.0	1.355e-88	Lambda phage tail tube protein, TTP [PF16461.8]	VOG00377	sp|P85503|STRU3_BPPAJ Structural protein 3; Xs	Xs	0	False	V
NC_014229_15	NC_014229	NC_014229	15	8991	9356	1	E			YP_003714743.1	YP_003714743.1 tail assembly chaperone [Streptomyces phage phiSASD1]	False	0.944	242.0	1.706e-73		VOG04743	REFSEQ tail protein; Xu	Xu	0	False	
NC_014229_16	NC_014229	NC_014229	16	9407	9709	1	D			YP_003714742.1	YP_003714742.1 tail protein [Streptomyces phage phiSASD1]	False	0.98	209.0	2.066e-62	Protein of unknown function (DUF4035) [PF13227.9]	VOG04743	REFSEQ tail protein; Xu	Xu	0	False	
NC_014229_17	NC_014229	NC_014229	17	9706	11628	1	E			YP_003714744.1	YP_003714744.1 gp37 [Streptomyces phage phiSASD1]	True	0.867	1153.0	0.0					0	False	
NC_014229_18	NC_014229	NC_014229	18	11644	14799	1	E			YP_003714745.1	YP_003714745.1 gp38 [Streptomyces phage phiSASD1]	True	0.97	2149.0	0.0		VOG34341	REFSEQ gp38; Xu	Xu	0	False	
NC_014229_19	NC_014229	NC_014229	19	14833	16452	1	D			YP_003714746.1	YP_003714746.1 tail spike protein [Streptomyces phage phiSASD1]	True	0.963	1071.0	0.0	Pectate lyase superfamily protein [PF12708.10]	VOG01982	sp|O31912|YORA_BACSU SPbeta prophage-derived uncharacterized protein YorA; Xu	Xu	0	False	
NC_014229_20	NC_014229	NC_014229	20	16536	17432	1	E			YP_003714747.1	YP_003714747.1 endolysin [Streptomyces phage phiSASD1]	True	0.989	582.0	6.1e-188		VOG01249	REFSEQ endolysin; Xu	Xu	0	False	
NC_014229_21	NC_014229	NC_014229	21	17450	17689	1	E			YP_003714748.1	YP_003714748.1 gp41 [Streptomyces phage phiSASD1]	False	0.893	149.0	4.050000000000001e-42		VOG22149	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_014229_22	NC_014229	NC_014229	22	17697	17885	1	E			YP_003714749.1	YP_003714749.1 gp42 [Streptomyces phage phiSASD1]	False	0.933	124.0	1.505e-33		VOG03462	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_014229_23	NC_014229	NC_014229	23	17942	18490	1	E			YP_003714750.1	YP_003714750.1 gp43 [Streptomyces phage phiSASD1]	True	0.956	368.0	5.879e-116		VOG02121	sp|Q7Y4Y9|DNMK_BPR69 Deoxynucleotide monophosphate kinase; Xh	Xh	0	False	
NC_014229_24	NC_014229	NC_014229	24	19051	19908	1	E			YP_003714751.1	YP_003714751.1 exonuclease [Streptomyces phage phiSASD1]	True	0.97	584.0	6.8529999999999996e-189					0	False	
NC_014229_25	NC_014229	NC_014229	25	19911	20138	1	E			YP_003714752.1	YP_003714752.1 gp2 [Streptomyces phage phiSASD1]	False	0.951	152.0	3.619e-43		VOG31805	REFSEQ gp2; Xu	Xu	0	False	
NC_014229_26	NC_014229	NC_014229	26	20337	21287	1	D			YP_003714753.1	YP_003714753.1 phosphoadenosine phosphosulfate reductase [Streptomyces phage phiSASD1]	True	0.968	646.0	1.3010000000000002e-209	Phosphoadenosine phosphosulfate reductase family [PF01507.22]	VOG22642	REFSEQ phosphoadenosine phosphosulfate reductase; Xu	Xu	0	False	
NC_014229_27	NC_014229	NC_014229	27	21215	21601	-1	E													0	False	
