	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001664.1_1	QGNH01001664.1	QGNH01001664.1	1	49	732	1	E					0	False	F
QGNH01001664.1_2	QGNH01001664.1	QGNH01001664.1	2	867	3611	-1	E					0	False	F
QGNH01001664.1_3	QGNH01001664.1	QGNH01001664.1	3	3668	6247	1	E					0	False	F
QGNH01001664.1_4	QGNH01001664.1	QGNH01001664.1	4	6251	7006	1	E					0	False	
QGNH01001664.1_5	QGNH01001664.1	QGNH01001664.1	5	7008	8141	1	E					0	False	
QGNH01001664.1_6	QGNH01001664.1	QGNH01001664.1	6	8154	8819	1	E					0	False	
QGNH01001664.1_7	QGNH01001664.1	QGNH01001664.1	7	8823	9578	1	E					0	False	F
QGNH01001664.1_8	QGNH01001664.1	QGNH01001664.1	8	9562	10029	1	E					0	False	F
QGNH01001664.1_9	QGNH01001664.1	QGNH01001664.1	9	10045	10224	1	E					0	False	F
QGNH01001664.1_10	QGNH01001664.1	QGNH01001664.1	10	10229	11128	1	E					0	False	F
QGNH01001664.1_11	QGNH01001664.1	QGNH01001664.1	11	11135	13894	1	E					0	False	F
