Name	Count
01_Fermentation	200
21_Cellular response to stress	217
06_Amino acid utilization biosynthesis metabolism	424
20_Hydrolysis of polymers	93
08_Hydrocarbon degradation	21
10_TCA cycle	24
15_Methylotrophy	22
19_Saccharide and derivated synthesis	127
07_Nucleic acid metabolism	128
14_Methanogenesis	8
05_Fatty acid oxidation	31
02_Homoacetogenesis	33
16_Embden Meyerhof-Parnos (EMP)	27
17_Gluconeogenesis	9
11_Nitrogen cycle	13
13_Hydrogen metabolism	4
18_Sulfur compounds metabolism	23
09_Carbohydrate Active enzyme - CAZy	58
04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	5
03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	4
12_Transporters	203
