	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
KC292022_KC292022.1_1	KC292022	KC292022.1	1	363	833	-1	D										Halobacterial output domain 1 [PF18545.4]	0
KC292022_KC292022.1_2	KC292022	KC292022.1	2	1241	2017	1	E											0
KC292022_KC292022.1_3	KC292022	KC292022.1	3	2010	2273	1	E											0
KC292022_KC292022.1_4	KC292022	KC292022.1	4	2384	2491	1	E											0
KC292022_KC292022.1_5	KC292022	KC292022.1	5	2494	2688	1	E											0
KC292022_KC292022.1_6	KC292022	KC292022.1	6	3024	4715	1	E											0
KC292022_KC292022.1_7	KC292022	KC292022.1	7	4730	6169	1	E											0
KC292022_KC292022.1_8	KC292022	KC292022.1	8	6172	6456	1	E											0
KC292022_KC292022.1_9	KC292022	KC292022.1	9	6453	7217	1	E											0
KC292022_KC292022.1_10	KC292022	KC292022.1	10	7224	7652	1	E											0
KC292022_KC292022.1_11	KC292022	KC292022.1	11	7675	8190	1	E											0
KC292022_KC292022.1_12	KC292022	KC292022.1	12	8232	9188	1	E											0
KC292022_KC292022.1_13	KC292022	KC292022.1	13	9234	9677	1	E											0
KC292022_KC292022.1_14	KC292022	KC292022.1	14	9677	10015	1	E											0
KC292022_KC292022.1_15	KC292022	KC292022.1	15	10018	13134	1	E											0
KC292022_KC292022.1_16	KC292022	KC292022.1	16	13136	13357	1	E											0
KC292022_KC292022.1_17	KC292022	KC292022.1	17	13394	13903	1	E											0
KC292022_KC292022.1_18	KC292022	KC292022.1	18	13912	15204	1	E											0
KC292022_KC292022.1_19	KC292022	KC292022.1	19	15233	15778	1	E											0
KC292022_KC292022.1_20	KC292022	KC292022.1	20	15835	16305	1	E											0
KC292022_KC292022.1_21	KC292022	KC292022.1	21	16253	16615	1	E											0
KC292022_KC292022.1_22	KC292022	KC292022.1	22	16618	18435	1	E											0
KC292022_KC292022.1_23	KC292022	KC292022.1	23	18436	18966	1	E											0
KC292022_KC292022.1_24	KC292022	KC292022.1	24	18963	20405	1	E											0
KC292022_KC292022.1_25	KC292022	KC292022.1	25	20407	20844	1	E											0
KC292022_KC292022.1_26	KC292022	KC292022.1	26	20841	21206	1	E											0
KC292022_KC292022.1_27	KC292022	KC292022.1	27	21271	21597	1	E											0
KC292022_KC292022.1_28	KC292022	KC292022.1	28	21594	22829	1	D										Baseplate J-like protein [PF04865.17]	0
KC292022_KC292022.1_29	KC292022	KC292022.1	29	22834	23484	1	E											0
KC292022_KC292022.1_30	KC292022	KC292022.1	30	23488	24897	1	E											0
KC292022_KC292022.1_31	KC292022	KC292022.1	31	24912	26117	1	E											0
KC292022_KC292022.1_32	KC292022	KC292022.1	32	26119	26502	1	E											0
KC292022_KC292022.1_33	KC292022	KC292022.1	33	26524	27015	1	E											0
KC292022_KC292022.1_34	KC292022	KC292022.1	34	27031	27867	-1	D										Family of unknown function (DUF6065) [PF19541.2]	0
KC292022_KC292022.1_35	KC292022	KC292022.1	35	27934	28059	1	E											0
KC292022_KC292022.1_36	KC292022	KC292022.1	36	28302	30722	1	C	K00525	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]								Ribonucleotide reductase, barrel domain [PF02867.18]; Ribonucleotide reductase, all-alpha domain [PF00317.24]	0
KC292022_KC292022.1_37	KC292022	KC292022.1	37	30729	31256	-1	E											0
KC292022_KC292022.1_38	KC292022	KC292022.1	38	31274	32041	-1	E											0
KC292022_KC292022.1_39	KC292022	KC292022.1	39	32312	36178	-1	C	K07317	adenine-specific DNA-methyltransferase [EC:2.1.1.72]								Eco57I restriction-modification methylase [PF07669.14]; TaqI-like C-terminal specificity domain [PF12950.10]; N-6 DNA Methylase [PF02384.19]; Type I restriction enzyme R protein N terminus (HSDR_N) [PF13588.9]; MmeI, DNA-methyltransferase domain [PF20473.1]; MmeI, helicase spacer domain [PF20465.1]	0
KC292022_KC292022.1_40	KC292022	KC292022.1	40	36276	36464	-1	E											0
KC292022_KC292022.1_41	KC292022	KC292022.1	41	36922	38115	1	D										Phage integrase family [PF00589.25]	0
KC292022_KC292022.1_42	KC292022	KC292022.1	42	38116	38583	-1	E											0
KC292022_KC292022.1_43	KC292022	KC292022.1	43	38677	40038	-1	C	K14415	tRNA-splicing ligase RtcB (3'-phosphate/5'-hydroxy nucleic acid ligase) [EC:6.5.1.8]								tRNA-splicing ligase RtcB [PF01139.20]	0
KC292022_KC292022.1_44	KC292022	KC292022.1	44	40285	40497	-1	E											0
KC292022_KC292022.1_45	KC292022	KC292022.1	45	40494	40751	-1	E											0
KC292022_KC292022.1_46	KC292022	KC292022.1	46	40748	40933	-1	E											0
KC292022_KC292022.1_47	KC292022	KC292022.1	47	40930	41358	-1	E											0
KC292022_KC292022.1_48	KC292022	KC292022.1	48	41345	41902	-1	C	K01494	dCTP deaminase [EC:3.5.4.13]								dUTPase [PF00692.22]; 2'-deoxycytidine 5'-triphosphate deaminase (DCD) [PF06559.14]	0
