	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001535.1_1	QGNH01001535.1	QGNH01001535.1	1	800	1027	1	E											0	False	F
QGNH01001535.1_2	QGNH01001535.1	QGNH01001535.1	2	1030	1488	-1	E											0	False	F
QGNH01001535.1_3	QGNH01001535.1	QGNH01001535.1	3	1526	1966	1	E											0	False	F
QGNH01001535.1_4	QGNH01001535.1	QGNH01001535.1	4	1974	2651	1	E											0	False	F
QGNH01001535.1_5	QGNH01001535.1	QGNH01001535.1	5	2653	3753	1	E											0	False	F
QGNH01001535.1_6	QGNH01001535.1	QGNH01001535.1	6	3757	4671	1	E	YP_010358264.1	YP_010358264.1 ERCC4-type nuclease [Halorubrum tailed virus 27]	False	0.325	68.0	3.767e-11		VOG01108	sp|P0CAF6|VF364_ASFK5 ERCC4 domain-containing protein EP364R; XhXp	Xh;Xp	0	False	F
QGNH01001535.1_7	QGNH01001535.1	QGNH01001535.1	7	4668	6512	1	E	NP_046608.1	NP_046608.1 terminase family protein [Bacillus phage SPBc2]	False	0.27	95.0	1.154e-18		VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01001535.1_8	QGNH01001535.1	QGNH01001535.1	8	6526	7209	1	E	YP_009361690.1	YP_009361690.1 Putative HNH endonuclease [Pacmanvirus A23]	False	0.622	124.0	8.457e-31		VOG02202	sp|Q5UPT5|YL246_MIMIV Uncharacterized protein L246; Xu	Xu	0	False	
QGNH01001535.1_9	QGNH01001535.1	QGNH01001535.1	9	7196	9649	1	E											0	False	
QGNH01001535.1_10	QGNH01001535.1	QGNH01001535.1	10	9657	10073	-1	E	YP_009875320.1	YP_009875320.1 HNH endonuclease [Lactococcus phage 936 group phage PhiM1127]	False	0.367	79.0	2.093e-16					0	False	
QGNH01001535.1_11	QGNH01001535.1	QGNH01001535.1	11	10144	12288	1	E											0	False	
QGNH01001535.1_12	QGNH01001535.1	QGNH01001535.1	12	12288	13028	1	E											0	False	
QGNH01001535.1_13	QGNH01001535.1	QGNH01001535.1	13	13033	16395	1	E											0	False	F
QGNH01001535.1_14	QGNH01001535.1	QGNH01001535.1	14	16352	18235	1	E											0	False	F
QGNH01001535.1_15	QGNH01001535.1	QGNH01001535.1	15	18232	18546	-1	E											0	False	F
