	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_027981_1	NC_027981	NC_027981	1	74	655	1	E			YP_009167708.1	YP_009167708.1 gp01 protein [Vibrio phage VP585]	True	0.942	384.0	3.28e-121													VOG00371	sp|P03707|TERS_LAMBD Terminase small subunit; XhXr	Xh;Xr	0	False	VF
NC_027981_2	NC_027981	NC_027981	2	735	2444	1	D			YP_009167709.1	YP_009167709.1 terminase large subunit [Vibrio phage VP585]	True	1.0	1224.0	0.0								Phage terminase large subunit gpA, ATPase domain [PF05876.15]; Terminase large subunit gpA, endonuclease domain [PF20454.1]					VOG00695	sp|P03708|TERL_LAMBD Terminase, large subunit; XhXr	Xh;Xr	0	False	VF
NC_027981_3	NC_027981	NC_027981	3	2452	2700	1	D			YP_009167710.1	YP_009167710.1 head-tail adaptor Ad1 [Vibrio phage VP585]	False	0.913	159.0	2.362e-45								gpW [PF02831.18]					VOG26055	REFSEQ head-tail adaptor Ad1; Xu	Xu	0	False	F
NC_027981_4	NC_027981	NC_027981	4	2700	4193	1	D			YP_007112480.1	YP_007112480.1 portal protein [Vibrio phage vB_VpaM_MAR]	True	0.988	1038.0	0.0								Phage portal protein, lambda family [PF05136.16]					VOG01401	sp|P36272|PORTL_BPP21 Portal protein B; XpXrXs	Xp;Xr;Xs	0	False	VF
NC_027981_5	NC_027981	NC_027981	5	4186	5457	1	D			YP_009167712.1	YP_009167712.1 head maturation protease [Vibrio phage VP585]	True	0.935	830.0	2.3940000000000004e-271	MER0233201	S49B	MER0233201 - protein C (bacteriophage lambda) () [S49.003]#S49B#{peptidase unit: 101-267}~source CAX64986~	False	0.96	339.0	3.161e-101	Peptidase family S49 [PF01343.21]					VOG07465	sp|P03711|SCAF_LAMBD Capsid assembly protease C; XhXs	Xh;Xs	0	False	VPF
NC_027981_6	NC_027981	NC_027981	6	5477	5791	1	D			YP_007112482.1	YP_007112482.1 head decoration protein [Vibrio phage vB_VpaM_MAR]	False	0.901	198.0	1.754e-58								Bacteriophage lambda head decoration protein D [PF02924.17]					VOG06548	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_027981_7	NC_027981	NC_027981	7	5855	6877	1	D			YP_007112483.1	YP_007112483.1 major head protein [Vibrio phage vB_VpaM_MAR]	True	0.964	691.0	7.3e-225								Phage major capsid protein E [PF03864.18]					VOG01069	sp|D6RRG1|CAPSD_BPKPP Major capsid protein; XhXs	Xh;Xs	0	False	V
NC_027981_8	NC_027981	NC_027981	8	6888	7253	1	E			YP_009167715.1	YP_009167715.1 gp08 protein [Vibrio phage VP585]	False	0.987	254.0	9.533e-78													VOG14050	REFSEQ gp08 protein; Xu	Xu	0	False	
NC_027981_9	NC_027981	NC_027981	9	7255	7788	1	D			YP_009167716.1	YP_009167716.1 tail completion or Neck1 protein [Vibrio phage VP585]	False	0.927	346.0	2.185e-108								Prophage minor tail protein Z (GPZ) [PF06763.14]					VOG00456	sp|O64325|COMPL_BPN15 Tail completion protein; XhXs	Xh;Xs	0	False	V
NC_027981_10	NC_027981	NC_027981	10	7785	8333	1	E			YP_009167717.1	YP_009167717.1 gp10 protein [Vibrio phage VP585]	True	0.986	381.0	1.768e-120													VOG06147	REFSEQ hypothetical protein; Xu	Xu	0	False	
